#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7530.8605493161385    All      0.7083527958928775        -0.31625516975495316      -1.2153535679187044        -0.38798417083149617       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5185.552354382465     All      1.776366123021524         0.8745212112549083        2.8763281022622245         -0.1654032448718862        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4144.951466439608     All      -1.4888992272176202       0.4641792543946366        -1.737556032300282         0.5586427704192567         
Check         All|All|All                                All                   All      0.9958196916967811        1.0224452958945918        -0.07658149795676206       0.00525535471587435        
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7530.8605493161385    All      -6.59638306324616e-05     -0.0001673668959433703    -0.00038016143931639176    -4.9995173451874396e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5185.552354382465     All      0.00034538947343207494    0.0007533241988166746     -0.0014574305030424293     6.783933109699898e-05      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4144.951466439608     All      -0.0011484482319622962    0.0004171960260931167     -0.0017526763245953056     0.00043176794839930164     
MWEBV         All|All|All                                All                   All      -0.7111346136156782       -3.8845676255034434       -0.21901015318345873       -1.0434649520761887        
Redshift      All|All|All                                All                   All      7.146968401102258         -3.2118022373200716       8.814534176103153          -2.980840213777263         
