#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7530.8605493161385    All      0.8418005147574472        -0.6016273580805809        -1.880578119550802        -0.5540935098425043       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5185.552354382465     All      1.3966450132520916        1.3551285074191455         3.9987061876160412        0.16492059995780184       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4144.951466439608     All      -1.203889543813863        0.18419662989401786        -2.12550368989346         0.35729386586074163       
Check         All|All|All                                All                   All      1.034555984195676         0.9376977792325825         -0.007375621828220602     -0.0318790440239608       
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7530.8605493161385    All      1.4040931388336567e-05    -0.00018559325490591927    -7.168985985422277e-05    -6.822661143136299e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5185.552354382465     All      0.0006062382201050409     0.000535251235936748       0.0010741454541951985     2.481138210307794e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4144.951466439608     All      -0.0011953042283736968    0.0003130571695401885      -0.0023924264882481286    0.0003845599247634826     
MWEBV         All|All|All                                All                   All      -0.6742704528056178       -3.9294679046062875        -0.31706030124147855      -1.0744738479057825       
Redshift      All|All|All                                All                   All      6.336452418756872         -2.2775322922517383        2.5673341358989576        -2.6912898809089425       
