#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4360.218035214377    All      -1.1526836589312077        0.7984978843867285        -0.047856181310824635      0.6334284190483236        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6233.971627284508    All      1.2216128991886643         -0.1467684008437331       0.008418894274748005       -0.44535111124324334      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7589.800325496513    All      0.3980225643997408         -0.08685830707779729      0.21036504329207364        -0.1485540262366528       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5397.846860884965    All      0.5310785771671513         0.43338065526348224       -0.16908785880461796       -0.03936904187618949      
Check         All|All|All                                All                  All      0.9980303818243487         0.9982518317286804        0.0018398974513790523      0.00015423969223797573    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4360.218035214377    All      -0.0004768389881628371     0.00018040120948033746    -0.0008630740491416275     0.0001755697240751699     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6233.971627284508    All      -0.00038082269432174697    4.2934005522368295e-05    -0.0005542414951872273     0.00011329824592946746    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7589.800325496513    All      -0.00011840970374085622    2.7248690376999635e-05    -0.00011894178663387714    4.213790532541195e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5397.846860884965    All      2.5547233022676544e-05     1.354860732705554e-05     -0.0011710860492685458     -5.616853890730026e-05    
MWEBV         All|All|All                                All                  All      -0.8996586157399937        -4.068849856407564        0.043961334828693396       -1.0303480579140192       
Redshift      All|All|All                                All                  All      5.543799710970512          -0.4722805310844791       2.9614478912221265         -1.8274794400513223       
