#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4360.218035214377    All      -1.1738109784876682        0.7803598249126686         -0.025271138169236096      0.635409986146955         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6233.971627284508    All      1.260329319014867          -0.14403477584057356       0.0445273785078415         -0.45546053550484245      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7589.800325496513    All      0.4089665736697669         -0.08226764702534695       0.32264566662310035        -0.14561295256278473      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5397.846860884965    All      0.5017353188797222         0.44435261656285974        -0.3389886449517654        -0.03381894028509913      
Check         All|All|All                                All                  All      0.9972202330766877         0.9984100186096079         0.002913262009940354       0.0005175577942286846     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4360.218035214377    All      -0.00037997005653023474    7.864216321092477e-05      -0.0009837654973330401     0.00010548415198909871    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6233.971627284508    All      -0.0003712243963243204     6.22557153752944e-05       -0.00022970418160503196    0.00013094809082075747    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7589.800325496513    All      -0.00012327679093427184    2.6970992560023735e-05     -0.00012865393990899645    4.319941163738211e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5397.846860884965    All      -2.224440352762333e-05     -2.0343829319549453e-05    -0.001204840883390745      -5.314743544510039e-05    
MWEBV         All|All|All                                All                  All      -0.8974208109783017        -4.066885721758862         0.07860502052337015        -1.028891212693439        
Redshift      All|All|All                                All                  All      5.879426687285051          -0.06528197790975909       4.540035715677093          -1.7337862449990387       
