#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5856.283006231153    All      0.7919265190260377         0.18071126038874397        -1.580030908474983        -0.2696024407486536       
Zeropoint     AB|PS|PS_g                4611.492961935947    All      -1.032431051817083         1.0604650026797557         0.29407449754559334       0.6948482933747835        
Zeropoint     AB|PS|PS_i                7093.227055000261    All      0.8466140406083785         -0.13991690206998086       0.7369990716702413        -0.2884567002799793       
Zeropoint     AB|PS|PS_z                8151.84868200977     All      0.3885121145371533         -0.10141812396318173       0.536096126694463         -0.1356628889717243       
Check         All|All|All               All                  All      0.9946216223544864         0.9998412370353371         -0.01286121256468542      0.0011262633744263395     
Lambda        AB|PS|PS_r                5856.283006231153    All      -0.00033979653916338577    1.1281168213385925e-05     -0.0009930981048875689    7.00401521196009e-05      
Lambda        AB|PS|PS_g                4611.492961935947    All      4.786963537529906e-06      -0.0001522710274940232     -0.0003348181721454459    -6.610035199201277e-05    
Lambda        AB|PS|PS_i                7093.227055000261    All      -0.0006302965097509718     9.05488550553939e-05       -0.001494542375854346     0.0001681084883760001     
Lambda        AB|PS|PS_z                8151.84868200977     All      0.0001642017197092132      -2.7767887058255413e-05    0.0005785500970319092     -3.671278289058536e-05    
MWEBV         All|All|All               All                  All      -0.636773700471239         -3.870988692031574         0.18612698061174493       -1.0451842329695524       
Redshift      All|All|All               All                  All      7.2769700185865            -0.05332808527143129       14.05082094787784         -1.7606956462536376       
