#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5856.283006231153    All      0.5512559591774435        0.30788147785649755        -2.755573093306544        -0.20224364661366204       
Zeropoint     AB|PS|PS_g                4611.492961935947    All      -0.9089132804587299       0.9976093337774827         0.948416082254552         0.6633405920212008         
Zeropoint     AB|PS|PS_i                7093.227055000261    All      0.9199623736446476        -0.18146427352334626       1.0115426945010644        -0.3136303902349668        
Zeropoint     AB|PS|PS_z                8151.84868200977     All      0.42940623514619614       -0.12696405692702584       0.7503606531961869        -0.14774295849685484       
Check         All|All|All               All                  All      0.9917112875095572        0.9970624811836082         -0.04525366335474057      -0.0002764033242828867     
Lambda        AB|PS|PS_r                5856.283006231153    All      -0.0002590599439422973    3.3481158947309016e-05     -0.0011327200452097574    4.474216830484349e-05      
Lambda        AB|PS|PS_g                4611.492961935947    All      -9.097419067346003e-05    -4.3450458917194115e-05    -0.0002274504758199927    5.32997282375469e-06       
Lambda        AB|PS|PS_i                7093.227055000261    All      -0.000677399076500129     0.00010784471980375267     -0.0017853358366679898    0.00017610839957015215     
Lambda        AB|PS|PS_z                8151.84868200977     All      0.00015937201408374653    -3.420424262445178e-05     0.0006058115458067271     -3.6019568381979376e-05    
MWEBV         All|All|All               All                  All      -0.6088939307817998       -3.8865673203458684        0.30156886237782815       -1.0541884219603603        
Redshift      All|All|All               All                  All      7.017654371357511         -0.768618974524049         14.006154072520193        -1.9112150612202912        
