#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3751.1855769548683    All      -1.2659560085770005        0.4842391516932665        -1.8294336406571587        0.4884569223127806        
Zeropoint     AB|SDSS|SDSS_r            4901.678157088908     All      0.531420685107212          0.3493379687816045        -3.573853869998795         -0.21879501515160993      
Zeropoint     AB|SDSS|SDSS_z            7067.0887378385405    All      0.14496138593333613        0.008466393210149192      0.7384686374088397         -0.011506446058037745     
Zeropoint     AB|SDSS|SDSS_i            5944.141491559666     All      1.5950495322099074         0.156679361803036         4.739044200022792          -0.25704270847027655      
Check         All|All|All               All                   All      1.0054755946734548         0.9987228754880562        0.07422532677567784        0.001112752632856373      
Lambda        AB|SDSS|SDSS_g            3751.1855769548683    All      -0.0014705753254286502     0.0004816596279984628     -0.0035348609783963825     0.0004781625405168758     
Lambda        AB|SDSS|SDSS_r            4901.678157088908     All      -0.00025493201142124403    -0.0001095699149890291    -0.00036645284808021035    3.099610952613228e-05     
Lambda        AB|SDSS|SDSS_z            7067.0887378385405    All      -1.4718843164864065e-05    -3.616482757771288e-06    0.0001092087919543132      8.48989084848003e-06      
Lambda        AB|SDSS|SDSS_i            5944.141491559666     All      -0.00024381341728829507    -3.201382883281924e-05    -0.0005733267911268318     4.3405152466156306e-05    
MWEBV         All|All|All               All                   All      -0.5669048464418727        -2.986417952124576        0.3461735638383864         -0.7726668819012523       
Redshift      All|All|All               All                   All      5.121852248757021          0.162829727195124         19.373524447623424         -0.7507653655496701       
