#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3751.1855769548683    All      -0.9412602512621313       0.4660353987212318         1.4797252211582375         0.5244358323394273        
Zeropoint     AB|SDSS|SDSS_r            4901.678157088908     All      0.4746130110070016        0.37495399641045424        -4.080683398580002         -0.21456437791596344      
Zeropoint     AB|SDSS|SDSS_z            7067.0887378385405    All      0.12652439095631218       0.009023062738577892       0.44209605971268034        -0.018545331608174946     
Zeropoint     AB|SDSS|SDSS_i            5944.141491559666     All      1.3527877794059184        0.14837334043100725        2.3276514163498545         -0.28844501463680167      
Check         All|All|All               All                   All      1.0126649301071011        0.9983857983012712         0.1687892986407702         0.0028811081784871906     
Lambda        AB|SDSS|SDSS_g            3751.1855769548683    All      -0.0012647572289706044    0.0005385966725749374      -0.0005029684274353069     0.0005649665234485033     
Lambda        AB|SDSS|SDSS_r            4901.678157088908     All      -0.0001588143825979966    -8.552125683836791e-05     0.0002370906083371969      3.4454247264437996e-05    
Lambda        AB|SDSS|SDSS_z            7067.0887378385405    All      -4.005621234630342e-05    -3.172813099374947e-06     -0.00013643221173943623    5.925793563070264e-06     
Lambda        AB|SDSS|SDSS_i            5944.141491559666     All      -0.0001577649455848594    -2.5438038381068735e-05    -0.00017331389995034458    3.536902374937898e-05     
MWEBV         All|All|All               All                   All      -0.5661600937465638       -2.9894631127676874        0.26577920249129056        -0.7774890124689957       
Redshift      All|All|All               All                   All      3.0217902152303444        -0.12809166972669317       0.008271079457910132       -1.0256510576779492       
