#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4209.90876184612      All      -0.6864608222368456        0.6189450444099798        1.7192531077012907         0.5019360072970366        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6019.068671072734     All      0.966650081398866          -0.05369523867093662      -2.378966941005145         -0.4385224074877875       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5211.767533461411     All      -0.029068121518827927      0.5012915301887411        -1.671007071630659         0.09818621592643934       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7328.1580491878585    All      0.7508307764970273         -0.06995188224410143      2.3318605618271926         -0.16329568787322585      
Check         All|All|All                                All                   All      1.0019519141402198         0.9965894536836828        0.0011396568926791417      -0.001695872137537413     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4209.90876184612      All      -0.0002663772305613281     0.00016836853217139908    -0.00011572448436620549    0.00013644674539887853    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6019.068671072734     All      -0.00018705383727258054    -9.423283661943115e-07    -2.5830231271038106e-05    5.946995674991987e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5211.767533461411     All      -0.0001807265913544241     0.00010155846206712841    -0.0011769729635295952     3.942663108078109e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7328.1580491878585    All      -0.00033600614336599325    3.758174309371719e-05     -0.0010038124788074696     7.68943247111033e-05      
MWEBV         All|All|All                                All                   All      -0.7853443276668135        -3.884681798193501        0.413498008168256          -0.9911036623477643       
Redshift      All|All|All                                All                   All      7.478073981182613          -0.31957061514953367      7.8572548436327105         -2.1893161833076435       
