#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4209.90876184612      All      -0.788157537335254         0.6393358099636259         1.254098768677266         0.5209462145301842        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6019.068671072734     All      1.0093674672915547         -0.07032540018103717       -2.391643020829604        -0.45841953137662794      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5211.767533461411     All      -0.0908083717053299        0.5317121400882918         -1.4210648728416504       0.1393598124476598        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7328.1580491878585    All      0.8655232406449485         -0.10215937213695625       2.5691839385999478        -0.20055518345072046      
Check         All|All|All                                All                   All      0.9959247988959194         0.9985631777339243         0.010574813605959577      0.0013313121504955894     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4209.90876184612      All      -0.00030680680009348643    0.00018705475240483866     -5.11704818835952e-05     0.0001585834516222386     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6019.068671072734     All      -0.00019644400845563348    -2.2881410628910006e-06    -0.0003315275821632018    4.8448400207291156e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5211.767533461411     All      -0.0001611941675271808     4.607906107899363e-05      -0.0016456040958796132    -5.920043169163725e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7328.1580491878585    All      -0.00033652749415690613    4.564801677783651e-05      -0.0009656252024882685    8.139571928138432e-05     
MWEBV         All|All|All                                All                   All      -0.7829173293701239        -3.8904022729489007        0.38038268901515127       -0.9952353469653751       
Redshift      All|All|All                                All                   All      8.239413426088177          0.011006863166329595       14.761784686849788        -2.021512071929455        
