#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6419.555593253119     All      0.5524443588349923         -0.07469405079287839       0.0022106554201387074      -0.20418096085840776      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4415.8545634759985    All      -0.0805698698462815        0.04307040099926773        -0.08888017930276174       0.036307389668101264      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_V     5400.56473295475      All      0.22383894135386886        0.1890311910061726         0.16358219908359506        -0.004038107189981675     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5410.901345229925     All      0.3110970928859582         0.18862959218886033        -0.03887569839140098       -0.04162653790772634      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7937.700167146251     All      0.16854162233161707        -0.04307469470776759       -0.004881606385458148      -0.06914824010234281      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6361.771652331133     All      0.1190234560893979         -0.02408038026193715       -0.08397258832558638       -0.05036093842082749      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           8215.953263398647     All      0.04569997227420143        -0.009850767246000203      0.010129453729125493       -0.017642672429743142     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_i'    7620.048070100865     All      0.154438515542861          -0.02975967185805395       0.046783628909434494       -0.05791167108805291      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4389.927420240071     All      -0.5755149000297981        0.413564536624067          -0.08327409509292505       0.31845957186519036       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_B     4392.407884510989     All      -0.45642941131733544       0.3547510527381892         0.08480337530487395        0.2680125493395089        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5377.510908689429     All      0.018854870508761036       0.02316772875379236        -0.1830235092224755        -0.006762658800797336     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_r'    6250.295146319625     All      0.5158254755958881         -0.034440342293784454      0.17576521944573514        -0.17139608561094685      
Check         All|All|All                              All                   All      0.9972501242241312         0.9963145951499275         0.0003668551722950386      -0.0002883615360258218    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6419.555593253119     All      -0.0001529721517141537     -2.7345050439835675e-05    -0.00036887738277463305    2.4459576493222572e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4415.8545634759985    All      -4.6519921515734156e-05    2.3230959986138728e-05     -6.504095415164063e-05     1.981767777951079e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_V     5400.56473295475      All      5.002859276207139e-05      2.424050591039363e-05      2.709671296536033e-05      -7.190826441505991e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5410.901345229925     All      1.8919730993680978e-05     -5.892901613986424e-05     -0.0008890980468236504     -6.503426043921346e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7937.700167146251     All      3.022485388201938e-05      5.488579301335491e-06      9.628155972655293e-05      -3.760814624803301e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6361.771652331133     All      -5.288132391455435e-06     1.2527231067503635e-06     6.304897399769938e-06      2.4119304371251728e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           8215.953263398647     All      -3.4163394789989293e-06    7.291300310553096e-07      -1.1879471078822278e-07    1.3450145389824928e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_i'    7620.048070100865     All      -3.397267647904726e-05     6.782249905958478e-06      -3.831288928982027e-06     1.310424749242189e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4389.927420240071     All      -0.00027646559752208643    8.266761020069267e-05      -0.0006835088710749174     8.647963921352294e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_B     4392.407884510989     All      -0.00013307596716479597    6.458352488558897e-05      -0.00017909672458225466    5.6391935108344e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5377.510908689429     All      2.0403810904977926e-05     4.75205544848974e-06       -7.679223189076217e-05     -8.525176294958504e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_r'    6250.295146319625     All      -0.0001381878254348623     6.418974603200706e-06      -9.271684829664808e-05     4.296566508841114e-05     
MWEBV         All|All|All                              All                   All      -0.8729350427964637        -4.103512178770163         0.022460113980495022       -1.0513029642861147       
Redshift      All|All|All                              All                   All      3.712602654168593          0.1621767068494151         -1.8534897669817112        -1.2392032721158543       
