#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6419.555593253119     All      0.5472222790278206         -0.0802804989719963        -0.031007169235730915      -0.20578200657495507      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4415.8545634759985    All      -0.08055630544276692       0.042803062035590145       -0.08924554781133516       0.03619958548149972       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_V     5400.56473295475      All      0.23252861648912015        0.1925789011730128         0.17523003977397286        -0.005193224712401649     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5410.901345229925     All      0.3064182670818107         0.18684992578998916        -0.011288864512419823      -0.03945111261564269      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7937.700167146251     All      0.16754080803481924        -0.04044066425765713       0.013483049368128898       -0.06714472134496506      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6361.771652331133     All      0.11814154349128153        -0.023910523649872673      -0.07992633791036644       -0.04983777701461707      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           8215.953263398647     All      0.046193130492952775       -0.0100867524861048        0.010309320056908496       -0.017872151834287007     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_i'    7620.048070100865     All      0.17273383214897628        -0.03410029738195597       0.04933297931527859        -0.06517117634030589      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4389.927420240071     All      -0.594541958114961         0.42040194613148785        -0.10210438926571531       0.3260441703312853        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_B     4392.407884510989     All      -0.4686791838464157        0.358107131471197          0.06791103171394032        0.27234206080209206       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5377.510908689429     All      0.01945611571832916        0.022755893673043204       -0.18043232350128716       -0.00697701966285417      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_r'    6250.295146319625     All      0.5302767664566108         -0.03803917556033376       0.17863068414611           -0.1771477323416702       
Check         All|All|All                              All                   All      0.9967339115375776         0.9966389479663995         0.0008924721374843347      8.894173178258802e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6419.555593253119     All      -0.00015000272880112426    -2.3454417176410187e-05    -0.00034475178368682027    2.5836259693687197e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4415.8545634759985    All      -4.7611122894398544e-05    2.387012963850724e-05      -6.429460788288677e-05     2.0414622557964265e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_V     5400.56473295475      All      5.56942788571582e-05       2.8821181394433905e-05     4.3651106255112665e-05     -6.805503552369337e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5410.901345229925     All      4.946282111388089e-05      -5.6772098058648344e-05    -0.0008481328152806331     -7.245248041237003e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7937.700167146251     All      2.816208549268059e-05      4.830541105668293e-06      9.010633611841272e-05      -3.57881965432891e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6361.771652331133     All      -4.180270668627304e-06     9.549208807205645e-07      5.0188983034767235e-06     1.8966712107244884e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           8215.953263398647     All      -3.822850279777136e-06     9.61923626248126e-07       8.014291133637323e-07      1.5943223760769034e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_i'    7620.048070100865     All      -3.350857785968487e-05     7.229163169427616e-06      -5.067013225511864e-06     1.3043504956748328e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4389.927420240071     All      -0.0003078550851210982     9.363794772819997e-05      -0.000708216441074727      9.91750424827559e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_B     4392.407884510989     All      -0.00014147077675238793    6.808320924940637e-05      -0.00019308904026204985    5.9641950321137945e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5377.510908689429     All      2.0049562672956565e-05     5.84046582931126e-06       -7.663251195917728e-05     -8.048127355717457e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_r'    6250.295146319625     All      -0.0001373441742851011     7.944622462862083e-06      -9.157821273610737e-05     4.323862592935391e-05     
MWEBV         All|All|All                              All                   All      -0.8762733915997765        -4.103956675512155         0.016630339633970235       -1.0506204975187377       
Redshift      All|All|All                              All                   All      3.6550024843648585         0.13169100141432466        -1.4211307034226128        -1.2110769997783166       
