#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5278.811259348863    All      0.2236744808843933         0.7520501453448958        -0.609067461031182        0.14492945351766467      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6096.497448831963    All      1.2567964993667946         -0.05394151310653683      -0.16972459012776342      -0.4345245216028779      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4264.064663318751    All      -1.028921006817213         0.5705130781717749        0.19196395490152537       0.5295547709480446       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7422.426839258656    All      0.5437836691029536         -0.26820403104821366      0.5631261704987844        -0.23936137289668852     
Check         All|All|All                                All                  All      0.9953336425369286         1.0004176793619202        -0.02370192575863561      0.000598329966142841     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5278.811259348863    All      -4.531077537349527e-05     0.0002560760600576451     -0.0017715878304042966    1.91137793699517e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6096.497448831963    All      -0.00028409110211082017    9.121389362747375e-05     -0.0008690329320223897    8.346823584730506e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4264.064663318751    All      -0.0006137064689156616     0.00020365891750999225    -0.0004360328283419529    0.0002467846543787643    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7422.426839258656    All      -0.00022951650567910073    0.00014800514103511272    -0.0007666254200285061    8.876024891540982e-05    
MWEBV         All|All|All                                All                  All      -0.8391013558208251        -3.982764592238386        0.0676030542937817        -1.0209777257261605      
Redshift      All|All|All                                All                  All      9.146257801280054          -2.3872978671935385       13.749825319655947        -3.1432669705800422      
