#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5278.811259348863    All      0.09630408157901105        0.7377398677495428        -0.6567612075921991        0.17962850186657997       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6096.497448831963    All      1.2186202358348848         -0.009274753438859307     -0.3187449337658077        -0.41418991700314656      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4264.064663318751    All      -0.9029482836865527        0.5900737180102311        0.2525299542637971         0.49759563694818376       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7422.426839258656    All      0.5786577699218124         -0.3220757229458471       0.7122828104378198         -0.2616126214454978       
Check         All|All|All                                All                  All      0.9906338036491555         0.9964631093750675        -0.010693376656389919      0.00142160036611938       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5278.811259348863    All      -0.00010342098656482572    0.00041621911061079267    -0.0018951318490411106     8.469284490455578e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6096.497448831963    All      -0.00013932091943818348    4.991282649733888e-05     -0.0009888189453022332     1.7513208608832702e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4264.064663318751    All      -0.0007471116480380106     0.00039832126975662804    -0.00015542502063200158    0.0003661692801198874     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7422.426839258656    All      -0.00021882261851991245    0.00014276668447993785    -0.0008118093708202011     8.15542082076491e-05      
MWEBV         All|All|All                                All                  All      -0.8108373308511854        -3.9899745234779793       0.0913731514184224         -1.0314720100594366       
Redshift      All|All|All                                All                  All      9.416445141986866          -3.563907822431922        14.594370885349866         -3.5768482583471846       
