#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K4_R
@MAGSYS  Linear_AB11_off
54501.19  13.858  0.017
54503.15  13.703  0.011
54505.11  13.642  0.017
54509.11  13.658  0.012
54510.12  13.69  0.016
54512.14  13.858  0.012
54514.16  14.061  0.017
