#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4373.270554364526    All      -0.3569436532944744        0.3986488487318418         1.1626382625866905         0.29800454201976967        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7867.794071104784    All      0.3301232022452649         -0.026575323000521678      0.8864685099133851         -0.07662942651063612       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7612.520752157352    All      0.27885592066222925        -0.009495085251298718      0.8116505388941597         -0.057705173317598724      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6252.633316537078    All      0.5745139427123626         -0.007343384841806966      0.9265694461628504         -0.14818153531917233       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5371.722212092814    All      0.23008832774593435        0.20294397326274805        -0.9788260653317282        -0.0525223209881541        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5414.005571057773    All      0.07930909208699793        0.09886314694016463        -0.8205359125528888        -0.03024735021712674       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6349.99982484532     All      0.6197531257091615         -0.14150917785977768       -1.3154207893530723        -0.3066693653779512        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4441.614654728157    All      -0.7585797848633531        0.4820836444725529         -0.6587112640214388        0.3747296371872863         
Check         All|All|All                                All                  All      0.9971201730041231         0.9976166424539024         0.01383272629795762        0.0007790074764167376      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4373.270554364526    All      -8.134628565502305e-05     4.9029543444458075e-05     5.8506997239990224e-05     4.507859534897713e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7867.794071104784    All      1.2138447727962154e-05     1.8238417718694046e-06     8.380273131335114e-05      3.7992450613562116e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7612.520752157352    All      -5.7648214730075505e-05    4.268342367725328e-06      -0.00013605468377814848    1.4096763980519379e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6252.633316537078    All      -0.00011811662562578136    -3.326041034550473e-06     -0.00039067371958583695    1.9957096093801697e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5371.722212092814    All      3.242079815917935e-05      1.9803822360431508e-05     -0.00029074776475346395    -1.708450148859036e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5414.005571057773    All      2.065758162931853e-05      5.199500685719163e-06      -6.845993475523508e-05     -8.090257982106376e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6349.99982484532     All      -0.00012819994661048494    5.275329410780585e-05      0.000701967911202199       9.026802754169124e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4441.614654728157    All      -0.00021367526931437107    -3.7636835087869085e-05    -0.0017232219249882282     -1.9557970520158077e-05    
MWEBV         All|All|All                                All                  All      -0.8298366895727689        -4.0828845349840215        0.41610979991799635        -1.04105563609853          
Redshift      All|All|All                                All                  All      2.071799306417072          0.31336311053662413        -7.099751846395397         -0.8896098367545985        
