#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4373.270554364526    All      -0.2765402369995914        0.3531681284949961         1.3132648085869096         0.2637217082315942        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7867.794071104784    All      0.2784059458074283         -0.03443945960914796       0.5582132098156901         -0.07699354907877091      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7612.520752157352    All      0.2660966732837081         -0.02545052313864815       0.59059089627558           -0.06861115427772045      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6252.633316537078    All      0.5817071330401515         -0.026298547262637584      0.6779137536042593         -0.1677952755892526       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5371.722212092814    All      0.29031077004051364        0.2721030044021244         0.19306463841385677        0.002684719812478566      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5414.005571057773    All      -0.01023709931080509       0.1059558359070234         -1.497663487266991         -0.02898598128265449      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6349.99982484532     All      0.6037101219646475         -0.14541441148718803       -1.293006938158239         -0.30171546709430436      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4441.614654728157    All      -0.7370446448000032        0.4971758661881154         -0.5417962795787753        0.3778483455002692        
Check         All|All|All                                All                  All      0.9964086630260494         0.9967998934946376         0.0005806016922903501      0.00015334622163909462    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4373.270554364526    All      -1.66030915188643e-05      3.3189565491466374e-05     0.00017545003959707734     2.404863597235514e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7867.794071104784    All      2.281827831003306e-05      -3.0140533054089856e-06    4.472930600669304e-05      -6.418376772809479e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7612.520752157352    All      -4.748854509278841e-05     5.953171852490435e-06      -8.398819595873357e-05     1.3659717947534966e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6252.633316537078    All      -0.00016103354618098264    -3.318031400363023e-06     -0.00042954077733064615    3.22046997675313e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5371.722212092814    All      7.032983355165513e-05      5.3474387018695456e-05     9.65562250273806e-05       -1.181512607234047e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5414.005571057773    All      2.9831677473661805e-05     2.0884838578062318e-05     5.978528133582595e-05      -2.463372484010845e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6349.99982484532     All      -0.00015963736817793876    5.6428509141663457e-05     0.000642554864355981       9.905403704767807e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4441.614654728157    All      -0.00016832887731063357    8.709146916843765e-06      -0.0009886712417730053     1.354725215132756e-05     
MWEBV         All|All|All                                All                  All      -0.8363675211762778        -4.088270029123953         0.313393811377056          -1.04526630481727         
Redshift      All|All|All                                All                  All      1.9542262750520272         0.004001813409448829       -10.806079293121803        -1.1174779559609986       
