#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3716.87814565386     All      -1.0159196897752532        0.4413771043425996        0.07201024123753667        0.4779029958199985         
Zeropoint     AB|SDSS|SDSS_z            7002.45486238833     All      0.14480431275173905        0.018202614138829176      0.2259989479438138         -0.031153043239285787      
Zeropoint     AB|SDSS|SDSS_i            5889.777818613711    All      1.2543676967956625         0.15163523135157675       0.2204094462994112         -0.349360381531292         
Zeropoint     AB|SDSS|SDSS_r            4856.848600357008    All      0.6147338500534562         0.3878181463482733        -0.5117269167796255        -0.09674993202084417       
Check         All|All|All               All                  All      0.9979861698256045         0.9990330961812788        0.006691718701136273       0.0006396390285765274      
Lambda        AB|SDSS|SDSS_g            3716.87814565386     All      -0.00161407009072907       0.0005541728409770708     -0.001212831480466166      0.0006521449572906438      
Lambda        AB|SDSS|SDSS_z            7002.45486238833     All      -6.518717684661848e-05     -8.346919891837131e-06    -0.00010534991592031036    1.381345878622112e-05      
Lambda        AB|SDSS|SDSS_i            5889.777818613711    All      -0.00021358302728233174    -2.490453020335356e-05    -1.4735323445878207e-05    6.0801224028303866e-05     
Lambda        AB|SDSS|SDSS_r            4856.848600357008    All      -0.0001687571992902717     -6.543741187995193e-05    -0.001263662481864396      -2.2736798894170192e-05    
MWEBV         All|All|All               All                  All      -0.5548427845945052        -2.9460819418824613       0.13187089972964547        -0.7730204703664478        
Redshift      All|All|All               All                  All      4.608316346690609          -0.3704739258720835       3.9247741041321613         -1.4466111466764124        
