#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3716.87814565386     All      -1.066079285138229         0.4563766803384439        0.25164009538857224        0.5071435369853119        
Zeropoint     AB|SDSS|SDSS_z            7002.45486238833     All      0.14768166240523406        0.01512404294867764       0.19745168691859272        -0.03436701574876522      
Zeropoint     AB|SDSS|SDSS_i            5889.777818613711    All      1.3106543806433            0.13129498391801775       0.06768754538136745        -0.38113557101238926      
Zeropoint     AB|SDSS|SDSS_r            4856.848600357008    All      0.6060024199924159         0.39652723630982933       -0.5082760073091275        -0.09091498263320424      
Check         All|All|All               All                  All      0.998259177902721          0.9993229435149686        0.008503320379404933       0.0007259675909531693     
Lambda        AB|SDSS|SDSS_g            3716.87814565386     All      -0.0017347525198270197     0.0004426933276556246     -0.0020997175785347206     0.0006155649964897028     
Lambda        AB|SDSS|SDSS_z            7002.45486238833     All      -6.088788723466085e-05     -9.064630452091757e-06    -0.00013761205147483783    1.073954584055906e-05     
Lambda        AB|SDSS|SDSS_i            5889.777818613711    All      -0.00024617479536390174    -1.131672682334967e-05    0.0001394313991664257      8.272318248415387e-05     
Lambda        AB|SDSS|SDSS_r            4856.848600357008    All      -0.00014053128348448326    -0.0001011626480753229    -0.001449595471726014      -5.186512840954514e-05    
MWEBV         All|All|All               All                  All      -0.5439354475197216        -2.9417334321946598       0.2096251878315969         -0.771687079459938        
Redshift      All|All|All               All                  All      5.051061836261808          0.09254143815287108       6.546922574695646          -1.3229941385588382       
