#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6291.666444107433    All      1.2018511044953024        -0.13694570087787739      -0.04502394497008233      -0.43809937649318603       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7795.517686887997    All      0.5036516747684868        -0.09200917247236262      0.23961446304213707       -0.1833334416299924        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4400.812386083756    All      -1.1495001673066372       0.8729169973532791        0.13769575116486799       0.6649125350389261         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5322.37564112282     All      0.4427883467537703        0.35404708523820716       -0.3305163069735495       -0.04365537315014316       
Check         All|All|All                       All                  All      0.9987909587109225        0.9980092092412463        0.001769962263373226      -0.00017565623439545763    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6291.666444107433    All      -0.0001627751780302593    -9.601308509989106e-06    -0.0002936617705958511    3.678899249141322e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7795.517686887997    All      1.6154517073816993e-05    2.224457284458009e-06     6.130748235857279e-05     -1.8016073961675935e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4400.812386083756    All      -0.0007339464922288075    0.0002681501890822052     -0.0018197811797579626    0.00024520738100461626     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5322.37564112282     All      0.00018073833288421068    9.716066795662425e-05     -0.0009212889047032832    -6.833688758043526e-05     
MWEBV         All|All|All                       All                  All      -0.8171736622951289       -4.060477131213602        0.05697784401264283       -1.0539079818530104        
Redshift      All|All|All                       All                  All      2.74344742277283          0.4537902293490603        0.7615992292555052        -0.7118299996794025        
