#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6291.666444107433    All      1.239857411907383          -0.13573833440991834      0.01113700905833189       -0.4475797967675277        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7795.517686887997    All      0.4511607782148735         -0.08076246757493521      0.23063969706805207       -0.16297251051839923       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4400.812386083756    All      -1.147830156401068         0.8451661722901349        -0.01718636481087407      0.6484175233589946         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5322.37564112282     All      0.4559989362247216         0.3692611969432491        -0.22262213517954785      -0.03818793869741712       
Check         All|All|All                       All                  All      0.99918696994591           0.9979265672485305        0.0019682061359620473     -0.00032272262434942384    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6291.666444107433    All      -0.00019997856566258835    -5.640216778081185e-06    -0.0003530547916305744    4.7547179944989726e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7795.517686887997    All      1.2673304668569995e-05     -6.8746868101575e-07      3.246949844546499e-05     -2.9030788477384503e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4400.812386083756    All      -0.000684802471697286      0.00024368714973172653    -0.0017209258721988404    0.00022564259835106563     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5322.37564112282     All      0.00018416720677939753     9.94092322969258e-05      -0.0008605660613640558    -6.60115716251946e-05      
MWEBV         All|All|All                       All                  All      -0.8131982335672814        -4.060513920938202        0.06159888450951428       -1.0550086775873349        
Redshift      All|All|All                       All                  All      2.776344720160042          0.5831219335906468        1.0440379309803829        -0.6678141987052388        
