#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4474.323526775436     All      -0.5439267275118025        0.3684287043137502         0.007653620090747326       0.2975257256605815        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4095.8418469215785    All      -0.6865613828336261        0.3272753666202277         -0.10008965502207312       0.32577344192698043       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5791.802284112847     All      1.2832328174826055         0.009458649618743209       -0.2553110190947838        -0.42630351057975496      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7081.3651465943685    All      0.6574713629159324         -0.08529322458104005       0.23015364748047995        -0.23167216214727906      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5003.985326659498     All      0.2886753224765446         0.37730029473665994        0.1184670190609527         0.034154708101454684      
Check         All|All|All                              All                   All      0.9988913925296539         0.997169790708341          0.0008736125153230301      -0.0005217970380174686    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4474.323526775436     All      -0.00014392175782602197    2.095100327127706e-05      -0.0005492632598377755     2.9193385830463773e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4095.8418469215785    All      -0.0004302323358007522     0.00014041574074200302     -0.00030242221852645583    0.00017238313765623154    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5791.802284112847     All      -0.0003518125816870297     2.01797856787888e-05       -0.0007665954207835596     8.696051945227063e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7081.3651465943685    All      -0.0005260829074243052     4.4549894788053036e-05     -0.0012651343731339187     0.00012941674042117634    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5003.985326659498     All      -0.00010425817198318865    -5.7715388580921914e-05    -0.0010997277372935212     -3.391528228239272e-05    
MWEBV         All|All|All                              All                   All      -0.7575053592361058        -3.7557268962864043        -0.0014153110927006551     -0.9766825520097715       
Redshift      All|All|All                              All                   All      7.236585646021984          0.4570708257875644         14.20236012634084          -1.5745249130051222       
