#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4474.323526775436     All      -0.5479132454521611        0.36982123354381           -0.026093807761917626     0.2977718655806477         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4095.8418469215785    All      -0.6690621215621164        0.3242039099042415         -0.08527690877529875      0.31973390715444366        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5791.802284112847     All      1.272400446235875          0.008866497142356877       -0.26815170623785917      -0.42354095532511554       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7081.3651465943685    All      0.6693953836747482         -0.08877376019960082       0.2815897482667267        -0.23439457601361804       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5003.985326659498     All      0.2738882498425667         0.3829380177485575         0.09868068504391711       0.03992476278729885        
Check         All|All|All                              All                   All      0.9987087127389119         0.9970558981393651         0.0007480105355683053     -0.0005049958163432997     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4474.323526775436     All      -0.00018899460623911024    4.1029135447084175e-05     -0.0006034517253695134    4.799702127380166e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4095.8418469215785    All      -0.00046004640537387355    0.0001678610355518726      -0.0003086803948478563    0.0001907551227464462      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5791.802284112847     All      -0.0002902430715025869     1.8406392903469884e-05     -0.0006089695520315897    7.336177061163812e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7081.3651465943685    All      -0.0005021490078435716     4.298885150073715e-05      -0.0010926193279000526    0.00012881075290618942     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5003.985326659498     All      -7.437150809548573e-05     -4.4242888953240826e-05    -0.000886963854436479     -2.9767240689105123e-05    
MWEBV         All|All|All                              All                   All      -0.7555023409027504        -3.7570639165746655        0.002360610044605817      -0.9776020104546593        
Redshift      All|All|All                              All                   All      6.647022134607789          0.2385912227214959         11.072372250696034        -1.5933276591338557        
