#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4287.308245568944    All      -1.0071257511095508        0.6238681215671171        -0.12781202403011538      0.5255646988223265        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6109.672401456033    All      1.3369834824987576         -0.14699918721978733      0.08857843228807707       -0.4794291285000255       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7443.553481544053    All      0.5345307238598014         -0.20712314130184595      0.08354991737708638       -0.2378526144889207       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5302.088682880865    All      0.13266406058350955        0.728382514665249         -0.04411706493015895      0.19207635706394388       
Check         All|All|All                                All                  All      0.9970525158325174         0.9981283077107328        0.00019926070488912595    0.00035931289732415994    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4287.308245568944    All      -0.0006362257458277141     0.00031868994900631324    -0.0005138384404432677    0.0002881172079782735     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6109.672401456033    All      -0.0003432174922365653     0.00010671710448836927    -0.0008754537716038822    0.00010749101954892597    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7443.553481544053    All      -0.0001773885963606824     6.995270091065033e-05     -0.0005168515966165128    5.750248486477866e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5302.088682880865    All      -2.7687238695893544e-05    0.00023647386630534507    -0.0011020228052160755    3.686774615199879e-05     
MWEBV         All|All|All                                All                  All      -0.8408923443049718        -3.9935804517194917       -0.007351595048235795     -1.0272623048651883       
Redshift      All|All|All                                All                  All      9.383771586716815          -2.6459972962981304       9.869132909250029         -3.47807741838687         
