#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4287.308245568944    All      -0.9635465280930631        0.5694579355039586        -0.04794451848260106       0.4972104444836825        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6109.672401456033    All      1.3139618520702072         -0.16226318475629498      -0.25841243673638825       -0.4923868210616897       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7443.553481544053    All      0.5668975470642634         -0.22686466438743835      0.18141730497387432        -0.25045864516947264      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5302.088682880865    All      0.07834239104916096        0.8196423050674362        0.12300821743560508        0.24695506182636912       
Check         All|All|All                                All                  All      0.9956552620905684         0.9999723914276615        -0.0019314328095099143     0.0013200400788893063     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4287.308245568944    All      -0.0006115796183919558     0.0002675843769784568     -0.0007924969096472862     0.00025100713965756826    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6109.672401456033    All      -0.00032822293271082256    9.014917117394731e-05     -0.00031970752105638935    0.00012201047996744122    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7443.553481544053    All      -0.00013321976097862743    5.440850017570956e-05     -0.0002778827786694743     4.8716065301830294e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5302.088682880865    All      -4.2457632767530644e-05    0.00016276049429373026    -0.0011114910223344891     1.7245556026526347e-05    
MWEBV         All|All|All                                All                  All      -0.8413819438510339        -3.991188532484813        0.00509912413222402        -1.02576808098621         
Redshift      All|All|All                                All                  All      9.641999530301941          -2.200039164806622        8.311875108248245          -3.4864207834783567       
