#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4318.174400843587     All      -0.45816677159143254       0.3603669256023956         0.02844414971227005        0.26789268589720167        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8096.264454328428     All      0.038188766042781014       -0.0027151516408085996     -0.03327636764744735       -0.014808723143742639      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5286.961376497637     All      0.5602834077158156         0.29352013487522477        0.4275493456260021         -0.06781401058300607       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6235.584860443416     All      1.0011258690976612         -0.08647650630679848       -0.1692895150573609        -0.36182248826297014       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6258.1360713373515    All      0.1037508856445916         0.0244998023659182         -0.19873045068721507       -0.034683112385284         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5296.23750133877      All      0.00329554601559387        0.08557448315928973        -0.27122096766541426       0.014697610610271694       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3591.72438419284      All      -0.14113601118975427       0.10249148653929119        -0.0007543880929022917     0.07932382624114588        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4291.232192160806     All      -0.06353126663601674       0.07151721834706137        -0.011969555239815799      0.0434555882460011         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8084.272056540751     All      0.24790117093482195        -0.04705636065014396       -0.00924465620999182       -0.09648991839926215       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3596.1375113692798    All      -0.2926430044508485        0.16389145713229247        0.0866233151504886         0.15257389438396024        
Check         All|All|All                                  All                   All      0.9990685915832135         0.9656134894237223         -0.15186909011138672       -0.017674647395684417      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4318.174400843587     All      -0.0003248166404600181     7.594889444792776e-05      -0.0008913883275498964     9.076395245394465e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8096.264454328428     All      -1.3007542743476983e-05    -1.0426432868128332e-06    2.088509728731546e-06      3.99056198355061e-06       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5286.961376497637     All      0.00021804309046266225     -2.511703272827621e-06     -0.0010765200172356947     -0.00011988209644846257    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6235.584860443416     All      -0.0002715048147972688     -2.0398769435901915e-05    -0.00035717854635183225    6.585426205575436e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6258.1360713373515    All      -6.387181397166872e-06     -7.851202893454894e-06     2.2129597806590388e-05     5.106623463240594e-07      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5296.23750133877      All      7.75199096331601e-06       9.979365200692607e-07      -5.803894304707112e-05     -4.790029198923613e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3591.72438419284      All      -9.974426576479206e-05     8.002913593096123e-05      6.561760528283852e-05      6.148632365456097e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4291.232192160806     All      -3.514341605830845e-06     1.6943992250059706e-06     -2.6199760584346458e-05    5.274832673554888e-07      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8084.272056540751     All      -9.225432266696747e-06     -2.6998456543074494e-06    -3.776691480917657e-05     4.402342943101328e-07      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3596.1375113692798    All      -0.000808217676003819      0.00024456028502653916     -0.0008451384845452324     0.0003052097682891405      
MWEBV         All|All|All                                  All                   All      -1.0213681750835915        -3.9013101687653595        -0.022785338506731145      -0.9391086596277493        
Redshift      All|All|All                                  All                   All      6.286287031993613          -0.641952586140615         3.460332632945434          -2.1023368232640727        
