#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4318.174400843587     All      -0.4845525628874705        0.34558970291032054        -0.14671706446297506       0.26385733809979267        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8096.264454328428     All      0.03827025898878733        0.0006057372780254866      -0.022447110377503028      -0.013270285287452692      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5286.961376497637     All      0.5490702010317731         0.3108215746878251         0.4621011357954105         -0.05698396441041588       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6235.584860443416     All      0.9952184663951386         -0.016273237747732594      0.18510725946156023        -0.32121563830509364       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6258.1360713373515    All      0.10378891840423218        0.0265659268412044         -0.20552267479956232       -0.03432560195783968       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5296.23750133877      All      0.010194563566559945       0.078272259494927          -0.29022680377839005       0.009223655964406389       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3591.72438419284      All      -0.1023465690559162        0.07445970131412238        -0.017942742986129415      0.05679091680160875        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4291.232192160806     All      -0.054715532832245554      0.06421368979205866        -0.024947473970959463      0.0376258692802224         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8084.272056540751     All      0.22636369800545683        -0.02808505339535472       0.06717679730656033        -0.07988453751459701       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3596.1375113692798    All      -0.2866370635171236        0.14208527310399788        -0.004545479382269411      0.13944612571522821        
Check         All|All|All                                  All                   All      0.994654378099192          0.9982555742793942         0.0020358428057423066      0.0012638783858595626      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4318.174400843587     All      -0.00034313929713998916    6.513539110160052e-05      -0.0009493749160593194     9.06222556161117e-05       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8096.264454328428     All      -1.2511603270428916e-05    -1.9119925800633755e-07    7.088310650685553e-06      4.3294796650053745e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5286.961376497637     All      0.00016617899302831055     -5.139850022899904e-06     -0.0011590320601842466     -0.00010752646100861636    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6235.584860443416     All      -0.00026747884723124244    -2.4350870964779077e-05    -0.0003281103934185011     6.455272064108427e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6258.1360713373515    All      -1.3422418955454748e-05    -3.283082336638958e-06     2.583930210123333e-05      4.455804888170931e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5296.23750133877      All      8.466786952826464e-07      5.434839288004797e-06      -2.0293549297535836e-05    5.889069508012185e-07      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3591.72438419284      All      -6.991788859604177e-05     5.054868677912194e-05      -1.3718223914310983e-05    3.86277455045287e-05       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4291.232192160806     All      -3.0853948780061503e-06    3.5618875238703953e-06     -1.6331748455876308e-06    2.092357474928678e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8084.272056540751     All      -5.661688084874913e-06     -3.632452069887981e-06     -3.792719009561413e-05     -1.0315273707205876e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3596.1375113692798    All      -0.0006905329121332782     0.0002879363467571057      -0.0002950648982828654     0.0003055522370767529      
MWEBV         All|All|All                                  All                   All      -1.0311623128095517        -3.8854195378153378        0.010082445803044517       -0.9292755472087195        
Redshift      All|All|All                                  All                   All      6.273942151815099          -0.35666987447298126       3.705785579524469          -1.994436287261638         
