#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7482.707268384566     All      0.21766183812694834        -0.03507327027305607       0.033825947067439174       -0.08081464288331115       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4677.778357558115     All      -0.359921805834408         0.3249412621398662         -0.03170557128230605       0.2216675585370027         
Zeropoint     AB|CNIa02|SDSS_g                      4688.70298674092      All      -0.24426633253152907       0.2582810002341951         0.07519896016223217        0.16705198381366448        
Zeropoint     AB|CNIa02|SDSS_i                      7429.734784731965     All      0.21861632412636972        -0.03261558347569249       0.0521457329926857         -0.0795074730234737        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6166.33907957659      All      0.6116848177809373         -0.0545982047901461        -0.006486689712029088      -0.21731977168131317       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4344.551592433903     All      -0.3535352531050091        0.23193829835381763        -0.011610136913493874      0.19018989013083976        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5433.782819115027     All      0.2746074464573688         0.06777183786508267        -0.016242586548647985      -0.06809799444607521       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5444.5248302526525    All      0.40298195929329594        0.08370350641837554        -0.02936925493091018       -0.10531011100992024       
Zeropoint     AB|CNIa02|SDSS_r                      6126.733147082048     All      0.5707284599217944         -0.04444762267263869       0.05722363306617649        -0.197829460867872         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4343.368753257408     All      -0.34146383581831813       0.19641571384956258        -0.12255875183323861       0.16973583083606744        
Check         All|All|All                           All                   All      0.9970936184174505         0.9963169376493664         0.0004212820679077578      -0.0002341905943911149     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7482.707268384566     All      -4.182164919818648e-05     -7.129344794204305e-06     -0.00011640568597498476    6.105773754204972e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4677.778357558115     All      -7.431379739533411e-05     -4.99202443951545e-05      -0.0005738970071858878     -1.7664604880875255e-05    
Lambda        AB|CNIa02|SDSS_g                      4688.70298674092      All      -2.1661241124186954e-05    -8.728016454980423e-06     -0.0001254474801680973     -1.3853681152517267e-06    
Lambda        AB|CNIa02|SDSS_i                      7429.734784731965     All      -3.529695049393044e-05     -1.6812407438608343e-06    -6.242432171628835e-05     8.164031815940751e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6166.33907957659      All      -0.00011545401692819956    -8.059217843282616e-06     -0.0001580521697551026     2.792887681709052e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4344.551592433903     All      -0.00012641544563313229    4.245543700867699e-05      -0.00020712582204084325    4.576372802026507e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5433.782819115027     All      4.0648387991175254e-05     -3.286954871063435e-07     -0.00013317064917980047    -1.9290378637105624e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5444.5248302526525    All      4.6423352223831345e-05     -2.4632643760566946e-05    -0.00043972051235616075    -4.2767982468140824e-05    
Lambda        AB|CNIa02|SDSS_r                      6126.733147082048     All      -4.744090071611863e-05     -1.032103036586298e-05     -0.00012422458435862394    6.547590323493215e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4343.368753257408     All      -0.00013311752754170507    4.327981013771405e-05      -0.00021337396362100362    4.793651617698424e-05      
MWEBV         All|All|All                           All                   All      -0.8869037775955424        -4.067592731776637         0.009632230000939964       -1.0356251917495003        
Redshift      All|All|All                           All                   All      4.5528300224142235         0.3965474144963288         0.40433179510448847        -1.3357945120483972        
