#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7482.707268384566     All      0.25210728957749345        -0.03502796869856439       0.07340727071729614        -0.0902535707452079        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4677.778357558115     All      -0.3568144948713158        0.3301321861787443         -0.0318392709124371        0.2223402934641877         
Zeropoint     AB|CNIa02|SDSS_g                      4688.70298674092      All      -0.19843257986493418       0.21716556842825696        0.0596261704750356         0.1380348318072544         
Zeropoint     AB|CNIa02|SDSS_i                      7429.734784731965     All      0.22845959291979168        -0.029309105478514397      0.08624049221426233        -0.08011522832734597       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6166.33907957659      All      0.6606434001324425         -0.041845041841881425      0.10932358023569844        -0.22394498745343105       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4344.551592433903     All      -0.37526821018532086       0.2482358983298738         -0.02264563584031265       0.20208523009937196        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5433.782819115027     All      0.24715500720564526        0.05812764403474446        -0.051833715937665836      -0.06388553167894495       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5444.5248302526525    All      0.4108169759913681         0.08527037740471144        -0.036151656722593906      -0.10765451972561957       
Zeropoint     AB|CNIa02|SDSS_r                      6126.733147082048     All      0.5490064714549372         -0.035377987567475344      0.10003398954387954        -0.1858891864673945        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4343.368753257408     All      -0.3576111183093943        0.18617472874069563        -0.22584984995359658       0.1670502988946082         
Check         All|All|All                           All                   All      1.0600623340507132         0.983546299530591          0.06031137381956597        -0.02223237013252166       
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7482.707268384566     All      -1.1948004158865999e-05    -4.112619058095118e-06     -4.789933889560496e-05     4.1471520262964195e-07     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4677.778357558115     All      -3.257047060534874e-05     -9.095961802113937e-05     -0.0005286788586569593     -4.26117755869036e-05      
Lambda        AB|CNIa02|SDSS_g                      4688.70298674092      All      6.278480454720723e-05      -5.295928688461818e-05     -0.00013696198577022335    -4.3813642828125734e-05    
Lambda        AB|CNIa02|SDSS_i                      7429.734784731965     All      -8.639234893375026e-06     -4.2220281033751604e-07    -7.525073122076035e-06     2.3407482297436786e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6166.33907957659      All      -0.00010250535112674421    6.579168804207948e-06      -2.156524443361653e-06     3.543618113427088e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4344.551592433903     All      -0.00014362170643843114    2.3865308633204306e-05     -0.00029813631630698663    4.125157646175188e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5433.782819115027     All      4.387513207554152e-06      -6.30342829472825e-07      -0.00013600135524645778    -7.703596646837685e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5444.5248302526525    All      -8.11369631755961e-06      -2.3990082889681022e-05    -0.0004710074172213449     -2.6190359195910637e-05    
Lambda        AB|CNIa02|SDSS_r                      6126.733147082048     All      -6.571522079711179e-06     -6.708159938515498e-06     -2.0444631171964814e-05    -9.568574362747555e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4343.368753257408     All      -0.00014746629895804773    1.8862088562871832e-05     -0.00032379221729108974    3.9729268323140154e-05     
MWEBV         All|All|All                           All                   All      -0.8722798753226408        -4.0680598588855865        0.030025042239434363       -1.0396307989498836        
Redshift      All|All|All                           All                   All      5.276950106919909          0.8580811282376644         1.9608080982764564         -1.3518691430678729        
