#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            8285.021940287272     All      0.27450976276599165        -0.13212523800198994       0.5311475271869512        -0.10875172297829618       
Zeropoint     AB|SDSS|SDSS_r            5746.427218080914     All      0.43996282287696925        0.848742345472786          -2.2727765897205847       0.03172935824237675        
Zeropoint     AB|SDSS|SDSS_i            6968.5473751113495    All      1.0946716971756802         -0.4862751468618143        1.7629267614512811        -0.4362950741754622        
Zeropoint     AB|SDSS|SDSS_u            3344.361424015419     All      -0.03678773746856055       -0.03393093244064005       0.6216725869556236        0.028672947700599655       
Zeropoint     AB|SDSS|SDSS_g            4397.6601907882105    All      -0.7746039409424204        0.791163852977661          -0.5916076456717987       0.4836213506394283         
Check         All|All|All               All                   All      0.9977526044076602         0.9875748811460028         0.05136264020147252       -0.0010231405713536645     
Lambda        AB|SDSS|SDSS_z            8285.021940287272     All      1.5349036483543066e-05     4.906016020005144e-06      -8.306692870358926e-07    -3.4387042852970167e-06    
Lambda        AB|SDSS|SDSS_r            5746.427218080914     All      -0.00020241171511380348    -8.892155043350833e-05     -0.0004144408170540104    1.8472890144591448e-05     
Lambda        AB|SDSS|SDSS_i            6968.5473751113495    All      -0.0006420077324524214     0.00012267994905512441     -0.00144638965586382      0.00018453820803068482     
Lambda        AB|SDSS|SDSS_u            3344.361424015419     All      -3.281334987857754e-05     -2.9718723822321432e-05    0.0005767891443531459     2.6747471932455087e-05     
Lambda        AB|SDSS|SDSS_g            4397.6601907882105    All      -0.0007013927869967922     0.0005051455439467204      -0.0014773584129352576    0.00032708150761282814     
MWEBV         All|All|All               All                   All      -0.671030637606616         -3.8761723633845335        0.8816480837486942        -1.0046762014020674        
Redshift      All|All|All               All                   All      8.878940762919724          -1.1668958740186142        11.127965228267486        -2.7756695116174894        
