#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7007.897965867821    All      1.3033843299946752        -0.27738353427215756      1.9553353069973634        -0.42765046488866254       
Zeropoint     AB|PS|PS_g                4556.01828293138     All      -0.9693466880510211       1.0646083374791893        0.20974170170043882       0.6718858757860491         
Zeropoint     AB|PS|PS_r                5785.833929844795    All      0.2895793433873293        0.32450070248559726       -2.0966424185651755       -0.08218848607334239       
Zeropoint     AB|PS|PS_z                8053.784737716455    All      0.40990960801738224       -0.14869037931868334      0.09074427628683601       -0.17790489299178147       
Check         All|All|All               All                  All      1.0335265933483655        0.9630351263739456        0.15917886641946266       -0.015857968167737324      
Lambda        AB|PS|PS_i                7007.897965867821    All      -0.000859329857108802     0.00012557239938433386    -0.0019759339959695642    0.00023263820815808        
Lambda        AB|PS|PS_g                4556.01828293138     All      -0.0002999971496173586    0.00032038673364704663    0.0004120559512719591     0.0002204676054034735      
Lambda        AB|PS|PS_r                5785.833929844795    All      0.00016084611240470395    -6.80807816347138e-05     -0.0006887519966671291    -0.00010530485914749656    
Lambda        AB|PS|PS_z                8053.784737716455    All      0.00017778470114258532    5.71829461306982e-05      0.0015139311332547192     2.82758339557034e-05       
MWEBV         All|All|All               All                  All      -0.6124077411396942       -3.832960005797492        0.08308172797443225       -1.0453322696825085        
Redshift      All|All|All               All                  All      6.885250408014473         -2.0245030517599183       8.851835712470946         -2.507183051194095         
