#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6642.250218456742     All      1.0789970323689022         0.10036511698547912        1.2067555245104717         -0.2649206542428301       
Zeropoint     AB|SDSS|SDSS_r            5477.354947885939     All      0.9077464096879151         0.4688561901497579         0.1955811364863446         -0.1342330957132013       
Zeropoint     AB|SDSS|SDSS_z            7897.081820716286     All      0.3861481340312492         0.20738763228660417        1.2626608612491166         -0.0018814214180833922    
Zeropoint     AB|SDSS|SDSS_g            4191.742954534303     All      -1.6556149057533556        -0.16423771716080893       -4.699335346834493         0.27608086191407855       
Zeropoint     AB|SDSS|SDSS_u            3187.7641355505257    All      0.29959214142999036        0.39578569614100445        2.0986796668387027         0.12498784008726917       
Check         All|All|All               All                   All      1.0168688117647013         1.0081569184020367         0.06434184225014272        3.353062723289446e-05     
Lambda        AB|SDSS|SDSS_i            6642.250218456742     All      -0.00015968674556608947    -1.5239201109249182e-05    -0.00017028339096474492    3.945235175722158e-05     
Lambda        AB|SDSS|SDSS_r            5477.354947885939     All      2.6175075914686693e-06     1.5914788902841803e-05     5.5769364331291286e-05     6.820092581355063e-06     
Lambda        AB|SDSS|SDSS_z            7897.081820716286     All      -0.00010611765884795108    -5.670619512570756e-05     -0.0003513518629693501     4.1571937962298166e-07    
Lambda        AB|SDSS|SDSS_g            4191.742954534303     All      -0.0006697627182036582     -7.347665462752238e-05     -0.0018907625237086206     0.00010985394066060414    
Lambda        AB|SDSS|SDSS_u            3187.7641355505257    All      0.00027606725944572685     0.00036524598146825166     0.0019448150925871644      0.00011583660902507048    
MWEBV         All|All|All               All                   All      -0.15518816852001516       -2.9394589517091063        3.193585226902882          -0.7644135528024093       
Redshift      All|All|All               All                   All      -1.5473656673627114        -3.6516337777241503        -12.797062831693733        -1.2565034913040654       
