#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6642.250218456742     All      1.2806499426226599         0.40650036458043104        0.6981881688434166         -0.2535823449220459       
Zeropoint     AB|SDSS|SDSS_r            5477.354947885939     All      0.6250400481587227         0.5187921352939995         -0.15694557485190774       -0.041612200853236025     
Zeropoint     AB|SDSS|SDSS_z            7897.081820716286     All      0.4632470192622115         0.2492818320606105         0.6158798280659683         -0.04221161262428774      
Zeropoint     AB|SDSS|SDSS_g            4191.742954534303     All      -1.3394596132958645        -0.6721592148695166        -2.1074138866272074        0.12331749054020208       
Zeropoint     AB|SDSS|SDSS_u            3187.7641355505257    All      -0.04511895329076687       0.4697284530879031         0.9440207643687915         0.20983004921732717       
Check         All|All|All               All                   All      0.984358443456963          0.9721435701534276         -0.0062707002009387836     -0.004258618642040413     
Lambda        AB|SDSS|SDSS_i            6642.250218456742     All      -3.1380243589340824e-05    0.00021519550765382311     0.00013968129560384376     8.655116897097411e-05     
Lambda        AB|SDSS|SDSS_r            5477.354947885939     All      -0.00010726459937347221    -0.00014635017818829334    -0.00018798337375665528    -2.112029349168824e-05    
Lambda        AB|SDSS|SDSS_z            7897.081820716286     All      -5.525312328018916e-05     -2.592583710699705e-05     6.5804477190867714e-06     9.84651710446482e-06      
Lambda        AB|SDSS|SDSS_g            4191.742954534303     All      -0.0004895354861080368     -5.9260294111914326e-05    -0.0013874594352010093     7.823884344416423e-05     
Lambda        AB|SDSS|SDSS_u            3187.7641355505257    All      2.3256856830820253e-05     0.0002668199254033221      0.0005162575512782705      0.00010237470784938923    
MWEBV         All|All|All               All                   All      -0.4719000533336408        -2.855230674735232         1.195146743779718          -0.7229952825745178       
Redshift      All|All|All               All                   All      0.06491991923422624        -1.9747833758591682        -0.98608428275615          -0.7084028800752401       
