#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5027.017061445691     All      -2.120520197129633         1.6924604420282208        -0.42647799641669815      1.2229814832732138        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6019.8579015637815    All      3.1182292056231216         -0.6888177431791931       0.4314796350101558        -1.2208254849530695       
Check         All|All|All                            All                   All      0.9977090084934885         1.0036426988490277        0.005001638593457647      0.0021559983201442368     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5027.017061445691     All      -0.00029615814171197503    1.1737628704406547e-05    -0.0016039728858103838    2.8713838781875893e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6019.8579015637815    All      -0.0006436531334868421     9.41586930821651e-05      -0.0009466749808991806    0.00019808382872502265    
MWEBV         All|All|All                            All                   All      -0.4534017258271801        -2.8386078169411633       -0.014858923593150017     -0.7776031803407963       
Redshift      All|All|All                            All                   All      1.3154761501050363         0.24209104526491387       -2.821347929873598        -0.47554064209537633      
