#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5027.017061445691     All      -1.8823343320771513       1.7358919885708701       1.3432387991162198        1.2385179270771804        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6019.8579015637815    All      2.877079422562674         -0.7333961405439737      -1.3498025037002148       -1.2362861583431848       
Check         All|All|All                            All                   All      0.9947450904855224        1.0024958480268964       -0.0065637045839950225    0.002231768733995665      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5027.017061445691     All      -0.0004006919400098651    0.0001719247686585298    -0.001048796713894028     0.00013971712015143747    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6019.8579015637815    All      -0.0006073496344462586    6.818846185502824e-05    -0.0013724940573260997    0.00015879687636730007    
MWEBV         All|All|All                            All                   All      -0.4548449525888496       -2.8374731638429296      -0.01350251346834419      -0.7767029497065938       
Redshift      All|All|All                            All                   All      1.7801989517698398        -0.3615525791444085      -3.8139312705720685       -0.8678371710041113       
