#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6010.785018516964    All      3.1469618555824823         -0.6718959082130382        0.602623909377656          -1.217035273032828        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5019.440547411861    All      -2.1495196675955563        1.675158090720963          -0.6022321875332507        1.218948517467252         
Check         All|All|All                            All                  All      0.9974421879869262         1.0032621825079246         0.00039172184440527946     0.0019132444344240884     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6010.785018516964    All      -0.00035107949271963345    4.698220241514347e-05      -0.00037604314177247994    0.00011288071163255608    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5019.440547411861    All      -0.00047004530515862254    -1.3046803127924267e-05    -0.0024654378697355596     3.8838278135806714e-05    
MWEBV         All|All|All                            All                  All      -0.4510540026509191        -2.833440721092906         -0.02109690146516914       -0.7769631902093534       
Redshift      All|All|All                            All                  All      2.553188278521426          0.23477651701337976        0.7621793088218106         -0.7211704222148073       
