#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4845.114809229417     All      1.4719523334624627         0.5208361995620692         0.2291778623016227        -0.2995826601840623       
Zeropoint     AB|MEGACAMPSF|r           3962.2369673903904    All      -1.160467486862249         0.32443662074204127        -0.6905266509256599       0.45286708678419385       
Zeropoint     AB|MEGACAMPSF|g           3107.2621725320673    All      -0.29543155395489645       0.06270245909085759        0.18657314054573243       0.12498193267117896       
Zeropoint     AB|MEGACAMPSF|z           5580.4780292439455    All      0.9718860440602037         0.092228259956606          0.2847277674207955        -0.273827387611384        
Check         All|All|All               All                   All      0.9879393367055208         1.000203539351574          0.00995211934249074       0.004438971659926516      
Lambda        AB|MEGACAMPSF|i           4845.114809229417     All      -0.00016374515232253073    -0.00010204650718330785    -0.0011927882834277175    -3.313138426396561e-05    
Lambda        AB|MEGACAMPSF|r           3962.2369673903904    All      -0.0010456397367668824     0.00019855250695166197     -0.0013714599891387692    0.0003440723860607599     
Lambda        AB|MEGACAMPSF|g           3107.2621725320673    All      -0.0008419071685344323     0.00017031979564202884     0.0004352555560675481     0.00034913907992107995    
Lambda        AB|MEGACAMPSF|z           5580.4780292439455    All      -0.0001874503567259953     -2.6456924202138995e-05    -0.0001666740187466398    4.5002961549044516e-05    
MWEBV         All|All|All               All                   All      -0.3133370978436054        -2.144329817045154         0.17538271315723666       -0.5885880415306213       
Redshift      All|All|All               All                   All      2.7241105809665513         0.12126658619528996        0.45355872626291605       -0.827591677287701        
