#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4845.114809229417     All      1.6518364378976196         0.516123263096091          0.3895436095993965        -0.35255560269915676      
Zeropoint     AB|MEGACAMPSF|r           3962.2369673903904    All      -1.2646194413367817        0.3173366638137054         -0.8991018826281838       0.4751723606613765        
Zeropoint     AB|MEGACAMPSF|g           3107.2621725320673    All      -0.3720668177827027        0.06282465758431499        0.15485677796317487       0.14856900780064256       
Zeropoint     AB|MEGACAMPSF|z           5580.4780292439455    All      0.9965835523911061         0.10206069595160017        0.3729767248978222        -0.2747312850581447       
Check         All|All|All               All                   All      1.0117337311692411         0.9983452804457116         0.01827522983220975       -0.003545519295282351     
Lambda        AB|MEGACAMPSF|i           4845.114809229417     All      -0.0001476035609081705     -0.00011585765877494711    -0.0011247697389103087    -3.985262283305828e-05    
Lambda        AB|MEGACAMPSF|r           3962.2369673903904    All      -0.0010073055733751412     0.0001625608710538751      -0.0014802612641805436    0.00031500672678706244    
Lambda        AB|MEGACAMPSF|g           3107.2621725320673    All      -0.0008138725154470902     0.0001411779074139279      0.0003842782271692404     0.00032823991530397527    
Lambda        AB|MEGACAMPSF|z           5580.4780292439455    All      -0.00022741705486490325    -2.1559618297903045e-05    -0.0001425307890043853    6.069404510534183e-05     
MWEBV         All|All|All               All                   All      -0.3034657019715339        -2.144906731998475         0.21817160851823614       -0.5900819282279944       
Redshift      All|All|All               All                   All      2.7448926117861707         0.2474857889680493         0.21099398846360362       -0.8040718717910774       
