#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                    dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5213.275633707196    All      3.595556632380812          0.116777273630575         0.5060212629347527       -1.110571480693217         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4353.462487853294    All      -2.6000461337781497        0.8844029195502756        -0.5224172689125561      1.1116866083020864         
Check         All|All|All                            All                  All      0.9955104986026624         1.0011801931808506        -0.01639600597780344     0.0011151276088694484      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5213.275633707196    All      0.0007334904865680514      8.556455936586467e-05     0.0008702322043468255    -0.00017221632417155428    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4353.462487853294    All      -0.00026765441067618016    -9.834582239709343e-05    -0.00212846146340495     -3.9834082152244776e-05    
MWEBV         All|All|All                            All                  All      -0.07464104679760597       -2.330524112265131        0.001405789090647147     -0.734752596860621         
Redshift      All|All|All                            All                  All      1.0065630354033104         -0.5448904983856195       -9.55869020487745        -0.9319198996277333        
