#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5213.275633707196    All      3.606471897484508          0.0872547190754247       0.2528723803338177        -1.1350402808805702        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4353.462487853294    All      -2.609633130439164         0.9147772579522595       -0.2526162324184879       1.1367433109283682         
Check         All|All|All                            All                  All      0.9968387670453444         1.0020319770276842       0.0002561479153297963     0.0017030300477980376      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5213.275633707196    All      0.001142217541693542       6.511397380642508e-05    0.0005349438516953627     -0.00032697598052275323    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4353.462487853294    All      -0.00041278280855406245    3.399779023974051e-05    -0.0014073614647412832    8.27270612782564e-05       
MWEBV         All|All|All                            All                  All      -0.07541544934121891       -2.331376611403435       -0.0035158750745864094    -0.7349976667581222        
Redshift      All|All|All                            All                  All      1.0277024468338947         -0.6277270461739093      -5.625814302334808        -0.7902821017679716        
