#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5272.261901707242    All      -0.12808692702937463       0.7274006708950509       -2.5353209926733378       0.16552072375510693        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4258.774289574546    All      -0.832303877930493         0.5649943590816164       1.3292861873449893        0.5144659428919782         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6088.933597769299    All      1.2043069075890365         -0.03781699775053937     -0.9485768977564035       -0.44693125092254177       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7413.21792354814     All      0.7521960544999198         -0.2607609635022712      2.1518482659470766        -0.2339263210317399        
Check         All|All|All                                All                  All      0.9961121571290885         0.9938170687238568       -0.002763437137675684     -0.0008709053071964956     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5272.261901707242    All      -0.0001546635694709128     0.0001472646757606799    -0.0029217818026223306    -3.2037739976438636e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4258.774289574546    All      -0.0005695730876612237     0.0001849244460180231    -0.0010260805626304652    0.00019997540605826486     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6088.933597769299    All      -0.00026201074158897097    7.418464114907088e-05    -0.0007014899237008479    7.820562318925919e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7413.21792354814     All      -0.00030266813086520373    0.0001396313882922982    -0.0009843971227777568    0.00010014238219444602     
MWEBV         All|All|All                                All                  All      -0.80499642325861          -3.974560960474882       0.35272631315877534       -1.0166908900044038        
Redshift      All|All|All                                All                  All      9.761298352637334          -2.4514569536913555      23.888240875662497        -2.9120737154276637        
