#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5272.261901707242    All      -0.4484148441144089        0.9429814722501817        -2.278776339028088        0.35153223384942756       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4258.774289574546    All      -0.7262968401002756        0.5176574662458577        0.3505822248503154        0.42084171698717476       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6088.933597769299    All      1.166821134870809          -0.05374228109040757      -0.4826385061643901       -0.41911559977385604      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7413.21792354814     All      1.0224586433423928         -0.4336005065660231       2.456984299588605         -0.364642443278429        
Check         All|All|All                                All                  All      1.014568093998517          0.9732961508396087        0.046151679246442256      -0.011384092215682706     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5272.261901707242    All      -0.00024861471761515727    0.00020956821741346287    -0.00248845233569619      3.819705701571404e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4258.774289574546    All      -0.000665188732683987      0.0004072920530678488     -0.0006926934568030066    0.0003184305479380534     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6088.933597769299    All      0.00013134608797491494     -6.481919961831192e-05    -9.013308031723985e-05    -6.791971322367711e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7413.21792354814     All      -0.00022672374938921398    0.00010759114256334476    -0.0003384573279624181    9.379356287352035e-05     
MWEBV         All|All|All                                All                  All      -0.7635425505010951        -3.990040643257764        0.29768160016097056       -1.0376924148321225       
Redshift      All|All|All                                All                  All      9.028232246646969          -2.9778554352633435       16.756289022552817        -3.1630215263259207       
