#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7379.4309968999005    All      0.5082218222111397         -0.12827663971348713      0.242758295720996         -0.19649530143675906      
Zeropoint     AB|CNIa02|SDSS_r                      6085.251466609707     All      1.1711001696152386         -0.091883341213439        -0.05329483335871892      -0.4137735840387043       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4313.961525870332     All      -1.084334744130943         0.7607828072525358        -0.014392076397843682     0.6003732367807734        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5396.992830511397     All      0.40216642089729987        0.4576320763171715        -0.1739248449755041       0.010305521712777722      
Check         All|All|All                           All                   All      0.997153668592735          0.9982549026427812        0.001146540988929301      0.0004098730180877707     
Lambda        AB|CNIa02|SDSS_i                      7379.4309968999005    All      -8.253894433178165e-05     -2.315492777406079e-05    -0.0005911896575206792    -7.038751310297129e-06    
Lambda        AB|CNIa02|SDSS_r                      6085.251466609707     All      -0.00012852905855678505    -3.959974282707832e-05    -0.0006389744567449873    4.527085197535742e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4313.961525870332     All      -0.0004794553975934949     0.00021253615649191387    -0.0005527842177265856    0.0002007361942204777     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5396.992830511397     All      -3.307717863680933e-05     3.9901732211519325e-05    -0.001172246717318733     -2.854035486134781e-05    
MWEBV         All|All|All                           All                   All      -0.8788081444203186        -4.034344262320744        0.026166711675207538      -1.0266942274921569       
Redshift      All|All|All                           All                   All      6.049640293562158          -1.0177514744031946       8.702452955456137         -1.9137315026279678       
