#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7379.4309968999005    All      0.5532543864449353        -0.1391080106882825       0.27288031849626027        -0.21334781547206194       
Zeropoint     AB|CNIa02|SDSS_r                      6085.251466609707     All      1.1814898920737484        -0.07161785865639203      0.04480246034230806        -0.40617909239845096       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4313.961525870332     All      -0.9989406158341537       0.7772115856378825        0.059400500233919296       0.5812019772000271         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5396.992830511397     All      0.2603671952033698        0.4311469916838284        -0.3777950182195289        0.038769341688724146       
Check         All|All|All                           All                   All      0.9961708578879           0.9976327079770364        -0.0007117391470412571     0.0004444110182383332      
Lambda        AB|CNIa02|SDSS_i                      7379.4309968999005    All      6.052836436431499e-06     -4.520153312222467e-05    -0.00030829974703602196    -3.045323612462253e-05     
Lambda        AB|CNIa02|SDSS_r                      6085.251466609707     All      0.00018782767344496733    -3.211998999050574e-05    6.653623810637918e-06      -7.13472693724481e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4313.961525870332     All      -0.0006072177307048796    0.0003248962359689204     -0.0004236441065054177     0.0002847148938379667      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5396.992830511397     All      3.314703946551633e-06     7.803491670123358e-05     -0.0009490459701109118     -1.8012731319385332e-05    
MWEBV         All|All|All                           All                   All      -0.8594302064334292       -4.044145311557568        0.03603139707097913        -1.0357585679887342        
Redshift      All|All|All                           All                   All      4.844051159614105         -1.8914359575514794       5.095832069242245          -1.9665661640649506        
