#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4666.444314534095     All      -0.4927207553582008        0.8506612971059369         0.8116358737581372         0.4738033117814341        
Zeropoint     AB|MEGACAMPSF|z           6576.6042300293075    All      0.5272029107185149         -0.05292018133857823       0.014944849430782144       -0.1882982565749433       
Zeropoint     AB|MEGACAMPSF|i           5704.662107802029     All      1.5551143120853306         0.014162929753425146       -0.4256743142536771        -0.5209344506138955       
Zeropoint     AB|MEGACAMPSF|g           3656.358473454883     All      -0.5993105850751939        0.18861958359952524        -0.4016106500036098        0.23873273929127836       
Check         All|All|All               All                   All      0.9902858823704507         1.000523629120309          -0.0007042410683675837     0.0033033438838735996     
Lambda        AB|MEGACAMPSF|r           4666.444314534095     All      -0.00010629598513338002    -0.00015960024870524713    -0.001085476316868568      -6.580277491298402e-05    
Lambda        AB|MEGACAMPSF|z           6576.6042300293075    All      -0.0001284491772435325     1.1163365869902261e-06     -0.00010970205959293943    3.730825135709773e-05     
Lambda        AB|MEGACAMPSF|i           5704.662107802029     All      -0.00046708361060741833    -4.126969603504885e-05     -0.00032304716587325293    0.00012428548952694914    
Lambda        AB|MEGACAMPSF|g           3656.358473454883     All      -0.001235003503536551      0.00037195593764125065     -0.0009372026559476034     0.00048161650726807166    
MWEBV         All|All|All               All                   All      -0.4319473462191299        -2.7725915495508957        -0.03090211348348753       -0.7638038413286657       
Redshift      All|All|All               All                   All      3.7604486785217346         1.181739172170282          4.147661041133245          -0.6548794604938757       
