#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           4946.411072647202     All      0.6570124170170295        0.12830576751046152        0.21556253916429832        -0.1625975835964362        
Zeropoint     AB|MEGACAMPSF|i           4290.435433171501     All      2.2637678337196885        0.8699769626838716         -0.1734012909269125        -0.46174164426475695       
Zeropoint     AB|MEGACAMPSF|r           3509.6471368169236    All      -1.9196719618265308       0.0012492895965721118      -0.0426339712950443        0.6238046896924045         
Check         All|All|All               All                   All      1.001108288910187         0.9995320197909052         -0.00047272305765848344    -0.0005345381687885675     
Lambda        AB|MEGACAMPSF|z           4946.411072647202     All      -2.066102142509449e-05    -4.002064300849482e-06     -5.319531581137431e-06     5.188984136035563e-06      
Lambda        AB|MEGACAMPSF|i           4290.435433171501     All      -0.0004155738337421616    -0.00015599301032365214    -0.0021474505740282585     -1.1276842092300327e-05    
Lambda        AB|MEGACAMPSF|r           3509.6471368169236    All      -0.0020149861610393506    -3.428062725113827e-06     -0.0006924906942829377     0.0006243279717255616      
MWEBV         All|All|All               All                   All      -0.38855617705889545      -1.8208438552713702        0.010206095135117745       -0.46608776650780576       
Redshift      All|All|All               All                   All      5.7138939205613175        0.8113062242376401         -3.5935987088802266        -1.7572999086124654        
