#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                7251.310827951608    All      0.7022501144848292         -0.13223842777794204       0.43381135457702946        -0.2524613637412763       
Zeropoint     AB|PS|PS_r                5986.799526556449    All      1.051837514130462          0.05754365653007909        -0.5587183847175048        -0.34880725612595476      
Zeropoint     AB|PS|PS_z                8333.525510650428    All      0.3548280962542421         -0.08422563989443077       0.12834585302035073        -0.1372867603533827       
Zeropoint     AB|PS|PS_g                4714.267369227409    All      -1.110206479778061         1.1580104837262795         -0.0016693299824233065     0.738758392604804         
Check         All|All|All               All                  All      0.9987092450914724         0.9990900725839857         0.0017694928974520963      0.0002030123841902931     
Lambda        AB|PS|PS_i                7251.310827951608    All      -0.00018178577539468141    7.390262032176275e-06      -0.00040844567608393846    4.339380449620786e-05     
Lambda        AB|PS|PS_r                5986.799526556449    All      -0.0001049440913228679     -1.0364747952662899e-05    -0.00034670129073969424    1.533591743937032e-05     
Lambda        AB|PS|PS_z                8333.525510650428    All      0.00026630218200315495     -6.640806087874561e-05     9.688642896485122e-05      -0.0001040510756070736    
Lambda        AB|PS|PS_g                4714.267369227409    All      -0.00019462130995600167    -6.661599065184002e-05     -0.0011337498231491691     -8.89850373526858e-06     
MWEBV         All|All|All               All                  All      -0.6756026981814167        -3.9763045249214812        0.09228468878910157        -1.0710289330214846       
Redshift      All|All|All               All                  All      5.41305612551505           0.7333655475196821         5.896203116381882          -1.2612087136974106       
