#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7251.310827951608    All      0.6437889508756426         -0.1241293546783595        0.32423388329485414       -0.23566718682169613       
Zeropoint     AB|PS|PS_r                5986.799526556449    All      1.138229860386227          0.037206410039125615       -0.5107565005021878       -0.3814322771713034        
Zeropoint     AB|PS|PS_z                8333.525510650428    All      0.32703544798201056        -0.07698595704201949       0.12746747774883693       -0.12591477543076202       
Zeropoint     AB|PS|PS_g                4714.267369227409    All      -1.1098786202932158        1.162712286424128          0.06002019110574717       0.7429360498041795         
Check         All|All|All               All                  All      0.9991756389506647         0.9988033847428746         0.0009650516472504492     -7.818961958205861e-05     
Lambda        AB|PS|PS_i                7251.310827951608    All      -0.0002226622204929827     -2.924008991783344e-07     -0.0005761032450864788    4.672432410975791e-05      
Lambda        AB|PS|PS_r                5986.799526556449    All      -0.00020217363288070958    -2.6020631952305754e-05    -0.000628350061259945     2.933845033739132e-05      
Lambda        AB|PS|PS_z                8333.525510650428    All      0.00028525245839207663     -7.412717556578818e-05     5.4829656656563936e-05    -0.00011461497426577054    
Lambda        AB|PS|PS_g                4714.267369227409    All      -0.00023136955624715287    -3.107610481412167e-05     -0.0011181686769825645    1.534343409981102e-05      
MWEBV         All|All|All               All                  All      -0.6831316664066733        -3.9760205132145288        0.07026540723680916       -1.0694666078229358        
Redshift      All|All|All               All                  All      6.20328502807787           0.892161664222435          9.188319819361613         -1.3199750972647863        
