#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5958.231562209478     All      1.2217382397364664         0.1021580911126918        -0.29697337422743264      -0.37793664524199777      
Zeropoint     AB|SDSS|SDSS_z            7083.840657311863     All      0.12240597210005665        0.007017907233120013      0.09517865506795141       -0.033338302645806936     
Zeropoint     AB|SDSS|SDSS_g            3760.0774362544666    All      -1.0267510408317881        0.4630635316928533        -0.18634220453423597      0.47696602296529356       
Zeropoint     AB|SDSS|SDSS_r            4913.297159031256     All      0.6798198243914463         0.4264287107510256        0.38594452553997277       -0.06531489043695257      
Check         All|All|All               All                   All      0.9972129953961814         0.9986682407896907        -0.002192398153744446     0.00037618464053626455    
Lambda        AB|SDSS|SDSS_i            5958.231562209478     All      -0.00015269041999769892    -1.68815507602174e-05     4.426118467788201e-05     4.6212590077638875e-05    
Lambda        AB|SDSS|SDSS_z            7083.840657311863     All      -4.0809572433502524e-05    -3.847508960603898e-06    -6.365308158272633e-05    9.199215405884405e-06     
Lambda        AB|SDSS|SDSS_g            3760.0774362544666    All      -0.001353378910449845      0.0006369579800225207     -0.000413915892419343     0.0006298470401338488     
Lambda        AB|SDSS|SDSS_r            4913.297159031256     All      -0.0003030240272024718     -8.886426125876775e-05    -0.0016413754805370752    -3.488167716571749e-06    
MWEBV         All|All|All               All                   All      -0.5694271373644222        -3.0097851499824912       0.008292918935954147      -0.794534815219493        
Redshift      All|All|All               All                   All      4.127790016854721          0.011503558491732235      5.037495911613322         -1.1160096151374475       
