#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5958.231562209478     All      1.1995185525754608         0.11521444588460383        -0.49070231913073137       -0.37509131088331177       
Zeropoint     AB|SDSS|SDSS_z            7083.840657311863     All      0.1097116522100479         0.00736452780181196        0.027513160447512064       -0.032110039552744885      
Zeropoint     AB|SDSS|SDSS_g            3760.0774362544666    All      -1.0856952429643           0.47434058784219246        0.22154520107041664        0.5180415385515114         
Zeropoint     AB|SDSS|SDSS_r            4913.297159031256     All      0.7722610385935726         0.4013063285096763         0.23475985488605744        -0.11035589901123993       
Check         All|All|All               All                   All      0.9957960004147811         0.9982258900382845         -0.006884102726745223      0.00048428910421477456     
Lambda        AB|SDSS|SDSS_i            5958.231562209478     All      -0.00020045935449423299    -1.2518015533322087e-05    0.00017611786432368624     6.90780085906371e-05       
Lambda        AB|SDSS|SDSS_z            7083.840657311863     All      -3.3918489803933086e-05    -2.6144186350799225e-06    -3.8589066314308577e-05    8.47471305661006e-06       
Lambda        AB|SDSS|SDSS_g            3760.0774362544666    All      -0.001365868004523559      0.0005377252801709544      -0.0008050674916368707     0.0005841364945733753      
Lambda        AB|SDSS|SDSS_r            4913.297159031256     All      -0.0003099978555588877     -0.00015129915767537517    -0.0016016650548979717     -1.9781568285833755e-05    
MWEBV         All|All|All               All                   All      -0.5832761188217375        -3.0033679636510158        0.023810502994725535       -0.7872409791267104        
Redshift      All|All|All               All                   All      4.003227586424275          0.36844676481990746        4.643566872306059          -0.9767466319538883        
