#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7221.9301511570975    All      0.22871307728708998        0.025219008722743297      0.6493063252936526        -0.03730915374564048      
Zeropoint     AB|SDSS|SDSS_i            6074.378892512421     All      1.3936187748807778         0.13337727921598486       1.097180607302839         -0.36153998451605995      
Zeropoint     AB|SDSS|SDSS_g            3833.374848648311     All      -1.2828628056270908        0.5196333364487771        -1.1880337123485685       0.5341158056951512        
Zeropoint     AB|SDSS|SDSS_r            5009.0749652558425    All      0.6587724192876738         0.3218754860249362        -0.5425339103836357       -0.1339492113958618       
Check         All|All|All               All                   All      0.9982414658284509         1.0001051104124414        0.015919309864287357      0.0013174560375889266     
Lambda        AB|SDSS|SDSS_z            7221.9301511570975    All      -1.9406066566457435e-05    2.0254696439382533e-06    2.892016718142155e-05     8.271530656107636e-06     
Lambda        AB|SDSS|SDSS_i            6074.378892512421     All      -0.0004513767878360249     -5.305184914867461e-05    -0.0005930258837646904    0.00010328351550866049    
Lambda        AB|SDSS|SDSS_g            3833.374848648311     All      -0.0011441904974764218     0.0007319378667476724     0.0011757513047157926     0.0006635851117166638     
Lambda        AB|SDSS|SDSS_r            5009.0749652558425    All      -0.00026935270287735104    -6.139278442899065e-05    -0.0031391372111402496    -7.234588908073415e-05    
MWEBV         All|All|All               All                   All      -0.5599768237686833        -3.1098758556570516       -0.005807602832241798     -0.8308451705134806       
Redshift      All|All|All               All                   All      4.546858727868203          -0.006536796701084313     2.6290461952231947        -1.3658684676950195       
