#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3104.4474369543937    All      -0.37025863168185574       0.06591321705577968        0.29879299123893716       0.1554092796538664        
Zeropoint     AB|MEGACAMPSF|i           4830.660061841378     All      1.8891475392237143         0.5992533242533682         0.8000225596524713        -0.38445964960845525      
Zeropoint     AB|MEGACAMPSF|r           3954.8041089657936    All      -1.136472284441677         0.2790771830712302         -1.1811263757749404       0.4083827863295571        
Zeropoint     AB|MEGACAMPSF|z           5570.211915030658     All      0.6061643713107715         0.0558217732185895         0.09757216880348563       -0.17491049217136953      
Check         All|All|All               All                   All      0.988580994410953          1.0000654975989676         0.015261343919953596      0.004421924203598715      
Lambda        AB|MEGACAMPSF|g           3104.4474369543937    All      -0.0010148736243201853     0.00018567689992165956     0.0008503004634531121     0.0004290038070797789     
Lambda        AB|MEGACAMPSF|i           4830.660061841378     All      -0.00039990794851849575    -0.0001111211608585468     -0.00142952086705994      3.0274406798937192e-05    
Lambda        AB|MEGACAMPSF|r           3954.8041089657936    All      -0.0009377717729372032     0.000154870289616685       -0.0019490425499029955    0.0002689326492564097     
Lambda        AB|MEGACAMPSF|z           5570.211915030658     All      -4.4436108996110456e-05    -4.5885819418712336e-06    -2.066817571423815e-06    1.2887417930603963e-05    
MWEBV         All|All|All               All                   All      -0.3728314625546878        -2.142047667781455         0.24482602181946592       -0.5653664626180783       
Redshift      All|All|All               All                   All      3.033138885211398          0.03252508448046143        -0.17487512239799288      -0.9852025057001504       
