#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3904.3362288484996    All      -2.793450976146606         0.3292007487743831        -0.32033295551876506      1.0028554104283123       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4675.446494473629     All      3.786280624448122          0.6725643401409798        0.3296356439111081        -0.99952970719587        
Check         All|All|All                            All                   All      0.992829648301516          1.0017650889153629        0.00930268839234305       0.003325703232442301     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3904.3362288484996    All      -0.0017416656819854194     0.00012090422407376103    -0.0032895110530865024    0.0004599045250118337    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4675.446494473629     All      -0.00042372030350257717    -7.65000062964674e-05     -0.0002973945725843485    9.98297201179329e-05     
MWEBV         All|All|All                            All                   All      -0.1341846862934677        -1.9379030111469575       0.07531439334480527       -0.5841694635065966      
Redshift      All|All|All                            All                   All      2.8778506524332608         -0.3819250149511788       0.16071436241531512       -1.054644234440893       
