#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3904.3362288484996    All      -2.8155339738130474        0.31357388523503005       -0.554475807624402         0.9945096656037572        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4675.446494473629     All      3.8053242692684317         0.6878413220137602        0.560836133263229          -0.9904392172630649       
Check         All|All|All                            All                   All      0.9897902954553844         1.0014152072487903        0.006360325638827047       0.0040704483406922565     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3904.3362288484996    All      -0.00157118483405124       0.00013515417501111198    -0.0024161981317213075     0.00044798692671548304    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4675.446494473629     All      -0.00048768436102021963    -8.808961828943051e-05    -0.00023511986958198706    0.0001196688340710283     
MWEBV         All|All|All                            All                   All      -0.14204211704822667       -1.9378122355306004       0.054835644155412276       -0.5824943437241311       
Redshift      All|All|All                            All                   All      3.1767929501202326         -0.17190455455402542      -0.06832470772962645       -1.0938299640499078       
