#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                5016.600481106203    All      1.0362935479790645         0.38416554628426525       0.851279786240482          -0.17443083745272092      
Zeropoint     AB|PS|PS_r                4141.786512507487    All      -0.49076997947536183       0.4317318974839779        -0.20536111880098093       0.2913248871933568        
Zeropoint     AB|PS|PS_g                3261.423556878497    All      -0.5193092993049846        0.10630249259548918       -0.11448847451501584       0.19867324784752982       
Zeropoint     AB|PS|PS_z                5765.29803754797     All      0.9611860612960783         0.07660401230307201       -0.5331617286396296        -0.31193003446795947      
Check         All|All|All               All                  All      0.9874003304947964         0.9988039486668043        -0.0017315357151445054     0.0036372631202062355     
Lambda        AB|PS|PS_i                5016.600481106203    All      -6.233337700204395e-05     -4.079451668809644e-05    -0.0010233017216337212     -3.864934056999098e-05    
Lambda        AB|PS|PS_r                4141.786512507487    All      -0.00033558277574208224    0.00025993707632817833    -0.00037431133606572164    0.00017727661206164713    
Lambda        AB|PS|PS_g                3261.423556878497    All      -0.0013097925582376893     0.00023390390536650964    -0.0006579754927823162     0.00047347030003030017    
Lambda        AB|PS|PS_z                5765.29803754797     All      -0.00028868279033688216    -4.257470641113444e-06    0.0005084896031014798      0.00011533823951813403    
MWEBV         All|All|All               All                  All      -0.43401934477999404       -2.316772583730753        0.012359289560092633       -0.6127231323390965       
Redshift      All|All|All               All                  All      8.410900293413299          1.0071929337961194        7.971235192365208          -2.055911445688321        
