#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5016.600481106203    All      1.0272186434162838         0.3838728539752978         0.8293049288971788        -0.17255081895181518      
Zeropoint     AB|PS|PS_r                4141.786512507487    All      -0.3170586800297289        0.4199938253194091         -0.19648419522728666      0.23131406208566768       
Zeropoint     AB|PS|PS_g                3261.423556878497    All      -0.5461401697353091        0.11816201458358933        0.06514158824341143       0.2192920462241843        
Zeropoint     AB|PS|PS_z                5765.29803754797     All      0.8241890398227977         0.0766125712431176         -0.6988019051642591       -0.2746945698981054       
Check         All|All|All               All                  All      0.9882088334740435         0.9986412651214138         -0.0008395832509555667    0.0033607194599313828     
Lambda        AB|PS|PS_i                5016.600481106203    All      -4.5806188860586324e-05    -4.744235814532601e-05     -0.0007465923050851324    -3.384993976592926e-05    
Lambda        AB|PS|PS_r                4141.786512507487    All      -0.0002475770445556027     0.00020582417823743906     -0.0005509876671235957    0.00012309964573195737    
Lambda        AB|PS|PS_g                3261.423556878497    All      -0.0010291075432174205     0.00029441208760421796     0.0007139411731285502     0.00046297380180464166    
Lambda        AB|PS|PS_z                5765.29803754797     All      -0.0003844647017698699     -3.6310641586881756e-05    0.0002922530296931886     0.00012644714177555537    
MWEBV         All|All|All               All                  All      -0.5119581290085129        -2.3170391006544833        -0.10165557998458308      -0.5925106795126575       
Redshift      All|All|All               All                  All      7.80539269238767           1.2111506817493733         5.148128544546027         -1.918224234539248        
