#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_g          3859.540816637673    All      -0.47960448596628524       0.37179335680423975       0.2684598981813223         0.28930841981151995        
Zeropoint     AB|DECam|DECam_z          7302.803810369783    All      0.6771534334329239         -0.1064917679926225       0.40744131216125123        -0.23707678881415475       
Zeropoint     AB|DECam|DECam_i          6231.843306388053    All      1.1475941125392184         -0.06880367886328287      0.22868791950408238        -0.386015487436626         
Zeropoint     AB|DECam|DECam_r          5129.616467317257    All      -0.3534306085785254        0.8055196398041531        -0.8988982306689212        0.33739452468437664        
Check         All|All|All               All                  All      0.9917124514273314         1.0020175497524875        0.005690899177734798       0.0036106682451158556      
Lambda        AB|DECam|DECam_g          3859.540816637673    All      -0.0005007957138503441     0.0003720672207376562     0.0001816264611738376      0.0002924253289149238      
Lambda        AB|DECam|DECam_z          7302.803810369783    All      -0.00013135800253935654    -5.674030175923388e-05    -0.0008061651449378393     -1.1670007842462973e-05    
Lambda        AB|DECam|DECam_i          6231.843306388053    All      -0.00014410065838688752    -4.11305735419218e-06     -0.00010849003202841527    4.075715525889331e-05      
Lambda        AB|DECam|DECam_r          5129.616467317257    All      -0.000416013496888048      -5.104950692389024e-05    -0.0029463926175111554     -1.260319173774286e-05     
MWEBV         All|All|All               All                  All      -0.46675965029481903       -3.042890355380301        0.03290005277002491        -0.8376623445784981        
Redshift      All|All|All               All                  All      4.549526458092431          0.7151911072073247        2.7951731639872164         -1.1242334291266638        
