#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3859.540816637673    All      -0.5203006933371824        0.4110618191230486        0.4320000277452496        0.32265358835873953       
Zeropoint     AB|DECam|DECam_z          7302.803810369783    All      0.6807058090176146         -0.08620768165545911      0.4725583473713657        -0.22872084595543865      
Zeropoint     AB|DECam|DECam_i          6231.843306388053    All      1.1105093224255818         -0.04208624965134078      0.41123492014516483       -0.3570867713410537       
Zeropoint     AB|DECam|DECam_r          5129.616467317257    All      -0.27830421012541806       0.719019690777678         -1.3054006160504006       0.26660717149973656       
Check         All|All|All               All                  All      0.9926102279805958         1.0017875785939268        0.01039267921137954       0.003453142561983702      
Lambda        AB|DECam|DECam_g          3859.540816637673    All      -0.0005104600242392079     0.0003934948257173965     0.0003698609821293796     0.00031095303078447213    
Lambda        AB|DECam|DECam_z          7302.803810369783    All      -0.0002000528972045434     -6.260649278414811e-05    -0.001007957293858323     -2.096888723762057e-07    
Lambda        AB|DECam|DECam_i          6231.843306388053    All      -0.00021734174386876248    1.5716764537824617e-06    -4.029926988493414e-05    6.95089317095469e-05      
Lambda        AB|DECam|DECam_r          5129.616467317257    All      -0.0003918804944207163     -9.090700489521214e-05    -0.0029156538378664167    -3.207527239810911e-05    
MWEBV         All|All|All               All                  All      -0.47430738775700965       -3.0406930561385437       0.026139974950023515      -0.8347897367470297       
Redshift      All|All|All               All                  All      4.690429187342872          0.9217919523427653        3.514630998846313         -1.0707272925596616       
