#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4297.169864999502     All      -0.5706765730883229        0.5143789043939861         -0.22626211225865722       0.34334122739507267        
Zeropoint     AB|MEGACAMPSF|g           3370.7534272134394    All      -0.4115040382500371        0.12990290380550107        -0.012591868140554574      0.17579213554406586        
Zeropoint     AB|MEGACAMPSF|i           5254.487220251117     All      1.0594029185497402         0.3071114450639456         0.15244741026400055        -0.2382430548142106        
Zeropoint     AB|MEGACAMPSF|z           6052.142493890033     All      0.9101366949715144         0.04855999765656094        0.08559829567150734        -0.27682401654982314       
Check         All|All|All               All                   All      0.9873590021828944         0.9999532509199938         -0.0008082744637039063     0.004066291575104852       
Lambda        AB|MEGACAMPSF|r           4297.169864999502     All      -0.0004336580531280533     -7.683813585524888e-05     -0.002650064887939246      -2.0322385585903384e-06    
Lambda        AB|MEGACAMPSF|g           3370.7534272134394    All      -0.0005191109258488123     0.00016698563658039314     -8.434198731108834e-06     0.0002231078427371477      
Lambda        AB|MEGACAMPSF|i           5254.487220251117     All      0.00033532082054721173     5.8680615869915965e-05     -0.000556775638958313      -0.00011495715544449012    
Lambda        AB|MEGACAMPSF|z           6052.142493890033     All      -0.00023741187101913457    -1.5071949268632282e-05    -0.00013339187516311275    6.647076053848724e-05      
MWEBV         All|All|All               All                   All      -0.4467956100006494        -2.424081473275308         -0.020310348588026272      -0.6449734140166835        
Redshift      All|All|All               All                   All      2.98935142876894           -0.008431558252475213      -1.0638067651427052        -1.0239493530442887        
