#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6829.683745720133     All      1.334488359995444          0.22673902604779528        7.118957300827236         -0.0431440337896799        
Zeropoint     AB|SDSS|SDSS_r            5631.917020104045     All      -0.1390192137510491        -0.15415520076942357       -12.341133400676412       -0.5556583918277014        
Zeropoint     AB|SDSS|SDSS_g            4310.027141595894     All      -0.16648104078512338       0.8727124721218615         5.4733210145671745        0.582748694430843          
Zeropoint     AB|SDSS|SDSS_u            3277.717668819977     All      -0.17628196898906223       0.04918165220928472        -0.561271107400968        0.04839396725876688        
Zeropoint     AB|SDSS|SDSS_z            8119.9246604261625    All      0.15354752933551385        0.004888000452041297       0.41033797522117205       -0.030111800090609764      
Check         All|All|All               All                   All      1.0062536658057233         0.9993659500615593         0.10021178253820234       0.002228435981618815       
Lambda        AB|SDSS|SDSS_i            6829.683745720133     All      -0.0009611433057160907     -0.0001807971555449119     -0.005421444181102202     1.2250259726442032e-05     
Lambda        AB|SDSS|SDSS_r            5631.917020104045     All      4.932621744277801e-05      1.995164051518183e-05      0.0009139112398758791     3.121539509296394e-05      
Lambda        AB|SDSS|SDSS_g            4310.027141595894     All      -8.565881432565103e-05     0.00026075553442330714     0.0013166007276097015     0.00017159239362589163     
Lambda        AB|SDSS|SDSS_u            3277.717668819977     All      -0.0001750449319519034     5.001332844169101e-05      -0.0005658742670927782    4.805651003318691e-05      
Lambda        AB|SDSS|SDSS_z            8119.9246604261625    All      -4.0707121186463786e-05    -1.4533067193292022e-05    -0.0004563198956429498    -1.1837710654694578e-05    
MWEBV         All|All|All               All                   All      -0.8929006120309264        -3.576817432287882         -0.15466019071428364      -0.8811417805813723        
Redshift      All|All|All               All                   All      6.910012783090147          1.1919712160615603         13.92508161091669         -1.2411418196524435        
