#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           4805.060155826543    All      1.1844814793045622        0.29444519928691903       0.6057348379605164         -0.26288293394692264       
Zeropoint     AB|MEGACAMPSF|i           4171.789540561675    All      1.436432114245622         0.7249828204713538        -0.5440208986365347        -0.25601959507735295       
Zeropoint     AB|MEGACAMPSF|r           3411.460372393199    All      -1.6230258379153837       -0.020812094044586615     -0.06220262278115809       0.5191179102768008         
Check         All|All|All               All                  All      0.9978877556348007        0.9986159257136862        -0.0004886834571763629     0.00021538125252518192     
Lambda        AB|MEGACAMPSF|z           4805.060155826543    All      -0.0002892523312726163    -7.272454459373615e-05    -0.00018628463277203745    6.221719608765832e-05      
Lambda        AB|MEGACAMPSF|i           4171.789540561675    All      0.0003227142217271364     0.00017739072453466036    -0.0001861665961663888     -5.5644404191293605e-05    
Lambda        AB|MEGACAMPSF|r           3411.460372393199    All      -0.002945589358791319     -0.0001668827011785933    -0.0032909714858196074     0.0007582552325913483      
MWEBV         All|All|All               All                  All      -0.3975975478598035       -1.7365449458599969       0.1345791922955755         -0.43013356633736144       
Redshift      All|All|All               All                  All      1.1753055804083903        -0.6062196590519875       -0.457476772910304         -0.6007164681918858        
