#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           4805.060155826543    All      1.6392562781278182         0.3840238381581429        1.069646326396001         -0.3611370987796167        
Zeropoint     AB|MEGACAMPSF|i           4171.789540561675    All      1.0229724516793128         0.6007994402011718        -1.6614773298200824       -0.21165974125846657       
Zeropoint     AB|MEGACAMPSF|r           3411.460372393199    All      -1.6662118471929002        0.01419283826109563       0.6097519423835518        0.5745735184236295         
Check         All|All|All               All                  All      0.996016882614231          0.9990161166204103        0.017920938959470334      0.001776678385546182       
Lambda        AB|MEGACAMPSF|z           4805.060155826543    All      -0.00038776953186294685    -6.658826529745621e-05    1.292208815528392e-05     0.00010519595851555848     
Lambda        AB|MEGACAMPSF|i           4171.789540561675    All      0.0004965773162909075      0.00019196430828631066    -0.0004968933742061689    -0.00012139654731949252    
Lambda        AB|MEGACAMPSF|r           3411.460372393199    All      -0.0032735621913102357     -5.965431480306252e-05    -0.0011888259090362303    0.0009938236895665178      
MWEBV         All|All|All               All                  All      -0.35607193821675764       -1.7341753258584447       0.10563377054241263       -0.4441796615887221        
Redshift      All|All|All               All                  All      2.282363084412611          -0.6510718088698297       -3.5916023297239974       -1.1157929682262633        
