#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4341.8664060827305    All      -0.800432195110726        0.5368469537469167         1.331507520349464         0.4950148792004949        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6479.978233986393     All      1.1538359970608019        -0.5119319832169955        0.6530224278550816        -0.5134540415835998       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7773.952266648749     All      0.49636267338434237       -0.12984479450328656       0.6882574135416791        -0.17326260659036447      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5330.839112929248     All      0.03245841503734259       0.9952948945031181         -2.8089995828408587       0.1882747676275498        
Check         All|All|All                                      All                   All      0.8822248903717608        0.8903650705297528         -0.13621222109463416      -0.0034270013459195003    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4341.8664060827305    All      -0.0006231740164788257    0.00021011712261372859     -0.000256280321107006     0.00025999372478856497    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6479.978233986393     All      -0.0003023701252302907    0.00017236895325491898     -0.0011803161005046656    0.00010196604974464837    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7773.952266648749     All      -5.921699573862276e-05    -4.2623337640038495e-05    0.0002297945897457335     1.565977748982077e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5330.839112929248     All      -0.0002485800019288065    0.0003948137497189943      -0.003185609661907496     6.741538370243444e-05     
MWEBV         All|All|All                                      All                   All      -0.8083178047413964       -4.106769243133712         0.7043872187232569        -1.0429805828753191       
Redshift      All|All|All                                      All                   All      4.068440812048943         -3.580765532106689         12.175997328279081        -1.9482393192773284       
