#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4341.8664060827305    All      -1.0021099552932804        0.5613041844812372        0.5127601344632527        0.5321375499009717         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6479.978233986393     All      1.195190480456421          -0.4044270504181213       0.6089545761923477        -0.4938732097512022        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7773.952266648749     All      0.5027621493588473         -0.11961047089279475      0.5326128936705212        -0.17895917062501          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5330.839112929248     All      0.2928652875997103         0.9436643342343842        -1.6863848559222527       0.1367310493072721         
Check         All|All|All                                      All                   All      0.9887079621216983         0.9809309974047054        -0.03205725159613104      -0.003963781167968361      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4341.8664060827305    All      -0.0005169498623002147     0.00012695603679708934    -0.0011036947363608116    0.00016048850821363936     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6479.978233986393     All      -0.00033754348042073736    0.00018401907009834098    -0.0008793869518235733    0.00013064708082060223     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7773.952266648749     All      -6.142334939145697e-05     2.0132112253338112e-07    -1.909695604514466e-05    1.922097313869887e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5330.839112929248     All      -0.0001270992881197256     0.00017338398337124616    -0.0026093130073574448    -1.8564368246579226e-05    
MWEBV         All|All|All                                      All                   All      -0.8044614559588013        -4.038175877025996        0.11165304173456247       -1.0483446105373158        
Redshift      All|All|All                                      All                   All      4.750411750974151          -1.8859208321368115       11.402506481568066        -1.652830356721869         
